OriginalTraitName,OriginalTraitDef,OriginalTraitUnit,Interactor1Order,text,version,cluster_id
mortality,mean duration of life stage,days,Homoptera,Trait: mortality. Definition: mean duration of life stage. Unit: days. Organism order: Homoptera.,v4,15
body size,mean length,mm,Coleoptera,Trait: body size. Definition: mean length. Unit: mm. Organism order: Coleoptera.,v4,5
body size,mean width,mm,Coleoptera,Trait: body size. Definition: mean width. Unit: mm. Organism order: Coleoptera.,v4,5
resource consumption rate,mean lifetime prey consumed,individual prey individual-1,Coleoptera,Trait: resource consumption rate. Definition: mean lifetime prey consumed. Unit: individual prey individual-1. Organism order: Coleoptera.,v4,-1
age specific fecundity,mean number of female offspring individual-1 at specific age,females individual-1,Acari,Trait: age specific fecundity. Definition: mean number of female offspring individual-1 at specific age. Unit: females individual-1. Organism order: Acari.,v4,-1
fecundity,mean number of female offspring individual-1,females individual-1,Acari,Trait: fecundity. Definition: mean number of female offspring individual-1. Unit: females individual-1. Organism order: Acari.,v4,4
development time,mean duration of life cycle (egg-to-egg),days,Coleoptera,Trait: development time. Definition: mean duration of life cycle (egg-to-egg). Unit: days. Organism order: Coleoptera.,v4,12
fecundity,mean lifetime eggs per individual (across all humdity levels),eggs individual-1,Coleoptera,Trait: fecundity. Definition: mean lifetime eggs per individual (across all humdity levels). Unit: eggs individual-1. Organism order: Coleoptera.,v4,4
fecundity,mean lifetime eggs per individual,eggs individual-1,Coleoptera,Trait: fecundity. Definition: mean lifetime eggs per individual. Unit: eggs individual-1. Organism order: Coleoptera.,v4,4
survival,percent surviving life stage (across all humidity levels),percent,Coleoptera,Trait: survival. Definition: percent surviving life stage (across all humidity levels). Unit: percent. Organism order: Coleoptera.,v4,-1
development time,mean duration of life stage (across all humidity levels),days,Coleoptera,Trait: development time. Definition: mean duration of life stage (across all humidity levels). Unit: days. Organism order: Coleoptera.,v4,12
mortality,cummulative mortality percentage across immature stages,percent,Coleoptera,Trait: mortality. Definition: cummulative mortality percentage across immature stages. Unit: percent. Organism order: Coleoptera.,v4,-1
hatch time,mean duration of life stage,hours,Coleoptera,Trait: hatch time. Definition: mean duration of life stage. Unit: hours. Organism order: Coleoptera.,v4,-1
development time,mean duration for 50 percent of eggs to hatch,days,Coleoptera,Trait: development time. Definition: mean duration for 50 percent of eggs to hatch. Unit: days. Organism order: Coleoptera.,v4,12
fecundity rate,maximum progengy individual-1 day-1,progeny individual-1 day-1,Hymenoptera,Trait: fecundity rate. Definition: maximum progengy individual-1 day-1. Unit: progeny individual-1 day-1. Organism order: Hymenoptera.,v4,4
gonotrophic cycle,mean duration of gonotrophic cycle (7th),days,Diptera,Trait: gonotrophic cycle. Definition: mean duration of gonotrophic cycle (7th). Unit: days. Organism order: Diptera.,v4,1
fecundity,mean number of eggs per cycle (1st),eggs individual-1 cycle-1,Diptera,Trait: fecundity. Definition: mean number of eggs per cycle (1st). Unit: eggs individual-1 cycle-1. Organism order: Diptera.,v4,4
mortality,proportion not surviving life stage,proportion,Hemiptera,Trait: mortality. Definition: proportion not surviving life stage. Unit: proportion. Organism order: Hemiptera.,v4,15
development time,median duration for egg development,days,Odonata,Trait: development time. Definition: median duration for egg development. Unit: days. Organism order: Odonata.,v4,-1
development time,mean duration for egg development,days,Odonata,Trait: development time. Definition: mean duration for egg development. Unit: days. Organism order: Odonata.,v4,12
hatching range,range of the number of days all eggs hatched from when the first egg hatching started,days,Odonata,Trait: hatching range. Definition: range of the number of days all eggs hatched from when the first egg hatching started. Unit: days. Organism order: Odonata.,v4,-1
fecundity rate,mean lifetime offspring,offspring individual-1 day-1,Hemiptera,Trait: fecundity rate. Definition: mean lifetime offspring. Unit: offspring individual-1 day-1. Organism order: Hemiptera.,v4,4
pre-reproductive period,mean duration from adult emergence to onset of reproduction,days,Hemiptera,Trait: pre-reproductive period. Definition: mean duration from adult emergence to onset of reproduction. Unit: days. Organism order: Hemiptera.,v4,19
age at first reproduction,mean age at first reproduction,days,Homoptera,Trait: age at first reproduction. Definition: mean age at first reproduction. Unit: days. Organism order: Homoptera.,v4,19
body size,mean dry mass,mg,Diptera,Trait: body size. Definition: mean dry mass. Unit: mg. Organism order: Diptera.,v4,5
body size,mean head width,mm,Diptera,Trait: body size. Definition: mean head width. Unit: mm. Organism order: Diptera.,v4,5
fecundity,mean offspring per reproduction day,offspring individual-1 day-1,Homoptera,Trait: fecundity. Definition: mean offspring per reproduction day. Unit: offspring individual-1 day-1. Organism order: Homoptera.,v4,4
chill-coma recovery time,mean duration for individuals to regain full movement after being cold shocked as function of growth temperature,minutes,Coleoptera,Trait: chill-coma recovery time. Definition: mean duration for individuals to regain full movement after being cold shocked as function of growth temperature. Unit: minutes. Organism order: Coleoptera.,v4,-1
chill-coma recovery time,mean duration for individuals to regain full movement after being cold shocked as function of adult temperature,minutes,Coleoptera,Trait: chill-coma recovery time. Definition: mean duration for individuals to regain full movement after being cold shocked as function of adult temperature. Unit: minutes. Organism order: Coleoptera.,v4,-1
heat knockdown time,mean duration individuals can tolerate heat exposure before movement ceases as a function of adult temperature,minutes,Coleoptera,Trait: heat knockdown time. Definition: mean duration individuals can tolerate heat exposure before movement ceases as a function of adult temperature. Unit: minutes. Organism order: Coleoptera.,v4,-1
heat knockdown time,mean duration individuals can tolerate heat exposure before movement ceases as a function of sex and growth temperature,minutes,Coleoptera,Trait: heat knockdown time. Definition: mean duration individuals can tolerate heat exposure before movement ceases as a function of sex and growth temperature. Unit: minutes. Organism order: Coleoptera.,v4,-1
fecundity,mean lifetime offspring as a function of size and adult and growth temperature,offspring individual-1,Coleoptera,Trait: fecundity. Definition: mean lifetime offspring as a function of size and adult and growth temperature. Unit: offspring individual-1. Organism order: Coleoptera.,v4,4
body size,mean thorax length,mm,Diptera,Trait: body size. Definition: mean thorax length. Unit: mm. Organism order: Diptera.,v4,5
development time,duration of life stage,days,Coleoptera,Trait: development time. Definition: duration of life stage. Unit: days. Organism order: Coleoptera.,v4,12
development rate,mean duration of life stage,days,Coleoptera,Trait: development rate. Definition: mean duration of life stage. Unit: days. Organism order: Coleoptera.,v4,12
consumption rate,mean relative consumption rate,mg of aphids,Coleoptera,Trait: consumption rate. Definition: mean relative consumption rate. Unit: mg of aphids. Organism order: Coleoptera.,v4,-1
growth rate,mean daily growth rate (the product of ln pupal weight divided by larval development time),ln(mg day-1),Coleoptera,Trait: growth rate. Definition: mean daily growth rate (the product of ln pupal weight divided by larval development time). Unit: ln(mg day-1). Organism order: Coleoptera.,v4,-1
body size,mean body weight,mg,Coleoptera,Trait: body size. Definition: mean body weight. Unit: mg. Organism order: Coleoptera.,v4,5
weight loss,proportionate weight loss in relation to temperature and population,proportion,Coleoptera,Trait: weight loss. Definition: proportionate weight loss in relation to temperature and population. Unit: proportion. Organism order: Coleoptera.,v4,-1
mortality,time to 50% mortality,days,Acari,Trait: mortality. Definition: time to 50% mortality. Unit: days. Organism order: Acari.,v4,-1
development time,mean duration of life cycle,days,Acari,Trait: development time. Definition: mean duration of life cycle. Unit: days. Organism order: Acari.,v4,12
feeding rate,mean lifetime feeding punctures,feeding punctures individual-1,Coleoptera,Trait: feeding rate. Definition: mean lifetime feeding punctures. Unit: feeding punctures individual-1. Organism order: Coleoptera.,v4,-1
EIP (extrinsic incubation period),day sporozoites first detected in salivary glands,days,Diptera,Trait: EIP (extrinsic incubation period). Definition: day sporozoites first detected in salivary glands. Unit: days. Organism order: Diptera.,v4,-1
oocyst prevalence,not stated,percent,Diptera,Trait: oocyst prevalence. Definition: not stated. Unit: percent. Organism order: Diptera.,v4,-1
oocyst intensity,not stated,not stated,Diptera,Trait: oocyst intensity. Definition: not stated. Unit: not stated. Organism order: Diptera.,v4,-1
sporozoite prevalence,not stated,percent,Diptera,Trait: sporozoite prevalence. Definition: not stated. Unit: percent. Organism order: Diptera.,v4,-1
copulation duration,mean copulation duration,hours individual-1 lifetime-1,Coleoptera,Trait: copulation duration. Definition: mean copulation duration. Unit: hours individual-1 lifetime-1. Organism order: Coleoptera.,v4,-1
hatchability,mean percentage of eggs hatching,percent,Coleoptera,Trait: hatchability. Definition: mean percentage of eggs hatching. Unit: percent. Organism order: Coleoptera.,v4,6
prey consumption,mean number of prey consumed,number of individual prey individual-1,Coleoptera,Trait: prey consumption. Definition: mean number of prey consumed. Unit: number of individual prey individual-1. Organism order: Coleoptera.,v4,-1
fecundity rate,mean number of eggs individual-1 day-1,eggs individual-1 day-1,Coleoptera,Trait: fecundity rate. Definition: mean number of eggs individual-1 day-1. Unit: eggs individual-1 day-1. Organism order: Coleoptera.,v4,4
mortality rate,mean death rate during life stage,individual-1 day-1,Diptera,Trait: mortality rate. Definition: mean death rate during life stage. Unit: individual-1 day-1. Organism order: Diptera.,v4,15
metabolic rate,mean CO2 production (VCO2) (RMR: resting metabolic rate),uL h-1,Diptera,Trait: metabolic rate. Definition: mean CO2 production (VCO2) (RMR: resting metabolic rate). Unit: uL h-1. Organism order: Diptera.,v4,0
parasite maturation time,mean duration time from infective feed to mature infection,days,Diptera,Trait: parasite maturation time. Definition: mean duration time from infective feed to mature infection. Unit: days. Organism order: Diptera.,v4,-1
interlarval period,mean frequency of larval production,days,Diptera,Trait: interlarval period. Definition: mean frequency of larval production. Unit: days. Organism order: Diptera.,v4,-1
fecundity rate,mean number of offspring per reproductive cycle,offspring individual-1 cycle-1,Diptera,Trait: fecundity rate. Definition: mean number of offspring per reproductive cycle. Unit: offspring individual-1 cycle-1. Organism order: Diptera.,v4,4
survival,probability of survival after exposure to extreme temperatures,probability,Diptera,Trait: survival. Definition: probability of survival after exposure to extreme temperatures. Unit: probability. Organism order: Diptera.,v4,-1
metabolic rate,mean CO2 production rate as a function of exposure temperature and acclimation temperature (secondstressor),ml CO2 h-1,Diptera,Trait: metabolic rate. Definition: mean CO2 production rate as a function of exposure temperature and acclimation temperature (secondstressor). Unit: ml CO2 h-1. Organism order: Diptera.,v4,0
metabolic rate,mean CO2 production rate,ul CO2 h-1,Diptera,Trait: metabolic rate. Definition: mean CO2 production rate. Unit: ul CO2 h-1. Organism order: Diptera.,v4,0
fat consumption rate,mean daily rate of fat consumption,mg day-1,Diptera,Trait: fat consumption rate. Definition: mean daily rate of fat consumption. Unit: mg day-1. Organism order: Diptera.,v4,-1
pre-reproductive period,mean duration to production of first larva,days,Diptera,Trait: pre-reproductive period. Definition: mean duration to production of first larva. Unit: days. Organism order: Diptera.,v4,-1
fecundity,mean lifetime eggs,eggs individual-1,Diptera,Trait: fecundity. Definition: mean lifetime eggs. Unit: eggs individual-1. Organism order: Diptera.,v4,4
blood feeding,mean lifetime blood feeds,blood meals individual-1,Diptera,Trait: blood feeding. Definition: mean lifetime blood feeds. Unit: blood meals individual-1. Organism order: Diptera.,v4,-1
metabolic rate (active),mean active metabolic rate (AMR),ml CO2 h-1,Blattodea,Trait: metabolic rate (active). Definition: mean active metabolic rate (AMR). Unit: ml CO2 h-1. Organism order: Blattodea.,v4,0
relative activity,amount of activity as a percentage of maximum recorded activity,percent,Blattodea,Trait: relative activity. Definition: amount of activity as a percentage of maximum recorded activity. Unit: percent. Organism order: Blattodea.,v4,-1
metabolic rate,mean respiratory CO2 rate (RCO2),pmol mg-1 s-1,Coleoptera,Trait: metabolic rate. Definition: mean respiratory CO2 rate (RCO2). Unit: pmol mg-1 s-1. Organism order: Coleoptera.,v4,0
metabolic heat rate,mean metabolic heat rate (or 455RCO2),uW mg-1,Coleoptera,Trait: metabolic heat rate. Definition: mean metabolic heat rate (or 455RCO2). Unit: uW mg-1. Organism order: Coleoptera.,v4,0
anabolic rate,mean anabolic rate,uW mg-1,Coleoptera,Trait: anabolic rate. Definition: mean anabolic rate. Unit: uW mg-1. Organism order: Coleoptera.,v4,0
metabolic rate (resting),mean oxygen consumption of inactive individuals that produced fewer than 0.3 spikes/sec over several minutes of observation,Ml O2 g thorax-1 h-1,Hymenoptera,Trait: metabolic rate (resting). Definition: mean oxygen consumption of inactive individuals that produced fewer than 0.3 spikes/sec over several minutes of observation. Unit: Ml O2 g thorax-1 h-1. Organism order: Hymenoptera.,v4,0
metabolic rate,mean oxygen uptake rate,ml O2 g-1 h-1,Diptera,Trait: metabolic rate. Definition: mean oxygen uptake rate. Unit: ml O2 g-1 h-1. Organism order: Diptera.,v4,0
metabolic rate (standard),mean CO2 production rate (VCO2),ml CO2 g-1 h-1,Coleoptera,Trait: metabolic rate (standard). Definition: mean CO2 production rate (VCO2). Unit: ml CO2 g-1 h-1. Organism order: Coleoptera.,v4,0
gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,days,Diptera,Trait: gonotrophic cycle 1. Definition: individual-level duration of first gonotrophic cycle. Unit: days. Organism order: Diptera.,v4,1
gonotrophic cycle 2,individual-level duration of second gonotrophic cycle,days,Diptera,Trait: gonotrophic cycle 2. Definition: individual-level duration of second gonotrophic cycle. Unit: days. Organism order: Diptera.,v4,1
fecundity,individual-level mean eggs per gonotrophic cycle,eggs cycle-1,Diptera,Trait: fecundity. Definition: individual-level mean eggs per gonotrophic cycle. Unit: eggs cycle-1. Organism order: Diptera.,v4,4
gonotrophic cycle,individual-level lifetime number of cycles completed,lifetime cycles,Diptera,Trait: gonotrophic cycle. Definition: individual-level lifetime number of cycles completed. Unit: lifetime cycles. Organism order: Diptera.,v4,1
development time,individual-level duration of life stage,days,Diptera,Trait: development time. Definition: individual-level duration of life stage. Unit: days. Organism order: Diptera.,v4,12
longevity,individual-level duration of life stage,days,Diptera,Trait: longevity. Definition: individual-level duration of life stage. Unit: days. Organism order: Diptera.,v4,14
development rate,individual-level rate of life stage completion,days-1,Acari,Trait: development rate. Definition: individual-level rate of life stage completion. Unit: days-1. Organism order: Acari.,v4,12
body size,individual-level mass,mg,Coleoptera,Trait: body size. Definition: individual-level mass. Unit: mg. Organism order: Coleoptera.,v4,5
body size,individual-level wet mass,mg,Diptera,Trait: body size. Definition: individual-level wet mass. Unit: mg. Organism order: Diptera.,v4,5
viral load,individual-level viral load,PFU (plaque-forming units),Diptera,Trait: viral load. Definition: individual-level viral load. Unit: PFU (plaque-forming units). Organism order: Diptera.,v4,-1
starvation tolerance,individual-level starvation tolerance as a function of temperature and body size (interactor1size),days,Coleoptera,Trait: starvation tolerance. Definition: individual-level starvation tolerance as a function of temperature and body size (interactor1size). Unit: days. Organism order: Coleoptera.,v4,-1
recovery time,individual-level duration to recover movement after exposure to extreme temperature,seconds,Diptera,Trait: recovery time. Definition: individual-level duration to recover movement after exposure to extreme temperature. Unit: seconds. Organism order: Diptera.,v4,-1
mortality rate,individual-level per capita daily rate of mortality,indivdual-1 day-1,Diptera,Trait: mortality rate. Definition: individual-level per capita daily rate of mortality. Unit: indivdual-1 day-1. Organism order: Diptera.,v4,15
survival,individual-level binomial survival,1 = survived life stage,Diptera,Trait: survival. Definition: individual-level binomial survival. Unit: 1 = survived life stage. Organism order: Diptera.,v4,-1
juvenile life span,individual-level duration from hatching to death or adult eclosion,days,Diptera,Trait: juvenile life span. Definition: individual-level duration from hatching to death or adult eclosion. Unit: days. Organism order: Diptera.,v4,-1
fecundity,individual-level lifetime eggs,eggs individual-1,Diptera,Trait: fecundity. Definition: individual-level lifetime eggs. Unit: eggs individual-1. Organism order: Diptera.,v4,4
bloodmeal weight,individual-level weight of bloodmeal,mg,Diptera,Trait: bloodmeal weight. Definition: individual-level weight of bloodmeal. Unit: mg. Organism order: Diptera.,v4,-1
knockdown time,mean time for 50% knockdown of femelaes under exposure to deltamethrin concentration (see notes),minutes,Diptera,Trait: knockdown time. Definition: mean time for 50% knockdown of femelaes under exposure to deltamethrin concentration (see notes). Unit: minutes. Organism order: Diptera.,v4,-1
incubation period,mean duration of egg incubation period (lay to hatching),days,Ixodida,Trait: incubation period. Definition: mean duration of egg incubation period (lay to hatching). Unit: days. Organism order: Ixodida.,v4,16
development time,mean duration of larval attachment developmental phase,days,Ixodida,Trait: development time. Definition: mean duration of larval attachment developmental phase. Unit: days. Organism order: Ixodida.,v4,12
premolt period (nymphal),mean duration of nymphal premolting phase,days,Ixodida,Trait: premolt period (nymphal). Definition: mean duration of nymphal premolting phase. Unit: days. Organism order: Ixodida.,v4,18
feeding time,mean duration of adult female feeding developmental phase,days,Ixodida,Trait: feeding time. Definition: mean duration of adult female feeding developmental phase. Unit: days. Organism order: Ixodida.,v4,17
preoviposition period,mean duration of prereproductive period (end of feeding until oviposition),days,Ixodida,Trait: preoviposition period. Definition: mean duration of prereproductive period (end of feeding until oviposition). Unit: days. Organism order: Ixodida.,v4,20
ovipositional period,mean duration of reproductive period,days,Ixodida,Trait: ovipositional period. Definition: mean duration of reproductive period. Unit: days. Organism order: Ixodida.,v4,20
body size,mean wet mass on the day feeding was completed,mg,Ixodida,Trait: body size. Definition: mean wet mass on the day feeding was completed. Unit: mg. Organism order: Ixodida.,v4,8
weight loss,nymphal weight loss during molting stage,percent,Ixodida,Trait: weight loss. Definition: nymphal weight loss during molting stage. Unit: percent. Organism order: Ixodida.,v4,3
egg size,mean weight of egg mass produced by adult female ticks,mg,Ixodida,Trait: egg size. Definition: mean weight of egg mass produced by adult female ticks. Unit: mg. Organism order: Ixodida.,v4,8
conversion efficiency index,percentage of adult female weight post feeding that was converted into egg mass,percent,Ixodida,Trait: conversion efficiency index. Definition: percentage of adult female weight post feeding that was converted into egg mass. Unit: percent. Organism order: Ixodida.,v4,2
premolt period (larval),mean duration of larval premolting phase,days,Ixodida,Trait: premolt period (larval). Definition: mean duration of larval premolting phase. Unit: days. Organism order: Ixodida.,v4,18
molting time,mean duration of nymphal molting phase,days,Ixodida,Trait: molting time. Definition: mean duration of nymphal molting phase. Unit: days. Organism order: Ixodida.,v4,18
survival rate,percentage of ticks that survived the larval stage,percent,Ixodida,Trait: survival rate. Definition: percentage of ticks that survived the larval stage. Unit: percent. Organism order: Ixodida.,v4,11
survival rate,percentage of ticks that survived the larval moult,percent,Ixodida,Trait: survival rate. Definition: percentage of ticks that survived the larval moult. Unit: percent. Organism order: Ixodida.,v4,11
survival time,mean survival time of fasting larvae,days,Ixodida,Trait: survival time. Definition: mean survival time of fasting larvae. Unit: days. Organism order: Ixodida.,v4,10
body size,mean weight of nymphs post-feeding,mg,Ixodida,Trait: body size. Definition: mean weight of nymphs post-feeding. Unit: mg. Organism order: Ixodida.,v4,8
premolt period (nymphal),mean time to complete nymphal moulting,days,Ixodida,Trait: premolt period (nymphal). Definition: mean time to complete nymphal moulting. Unit: days. Organism order: Ixodida.,v4,18
survival rate,percentage of ticks that survived the nymphal moult,percent,Ixodida,Trait: survival rate. Definition: percentage of ticks that survived the nymphal moult. Unit: percent. Organism order: Ixodida.,v4,11
sex ratio,ratio of male ticks to female ticks,ratio,Ixodida,Trait: sex ratio. Definition: ratio of male ticks to female ticks. Unit: ratio. Organism order: Ixodida.,v4,-1
feeding time,mean duration of feeding developmental phase,days,Ixodida,Trait: feeding time. Definition: mean duration of feeding developmental phase. Unit: days. Organism order: Ixodida.,v4,17
body size,mean body weight of engorged adult females,mg,Ixodida,Trait: body size. Definition: mean body weight of engorged adult females. Unit: mg. Organism order: Ixodida.,v4,8
fecundity,mean lifetime eggs laid per female,eggs individual-1,Ixodida,Trait: fecundity. Definition: mean lifetime eggs laid per female. Unit: eggs individual-1. Organism order: Ixodida.,v4,4
body size,mean wet mass on the day feeding was completed (engorged),mg,Ixodida,Trait: body size. Definition: mean wet mass on the day feeding was completed (engorged). Unit: mg. Organism order: Ixodida.,v4,8
