trait_name,trait_def,trait_unit,best_match_id,best_match_label,confidence,reasoning
chill-coma recovery time,mean duration for individuals to regain full movement after being cold shocked as function of adult temperature,minutes,PATO:0001309,duration,high,"The trait 'chill-coma recovery time' is best described by the temporal extent between the starting and ending point of recovery, which aligns with the definition of 'duration'."
heat knockdown time,mean duration individuals can tolerate heat exposure before movement ceases as a function of adult temperature,minutes,PATO:0001309,duration,high,"The trait 'heat knockdown time' is fundamentally about the temporal extent of tolerance to heat, which aligns with the concept of 'duration'."
heat knockdown time,mean duration individuals can tolerate heat exposure before movement ceases as a function of sex and growth temperature,minutes,PATO:0001309,duration,medium,"The trait 'heat knockdown time' refers to the temporal extent of heat tolerance, aligning with the concept of 'duration'."
consumption rate,mean relative consumption rate,mg of aphids,PATO:0000161,rate,medium,"The VecTraits entry describes a consumption rate, which aligns with the general concept of a rate as a process occurring per unit time, but lacks specificity regarding food consumption."
growth rate,mean daily growth rate (the product of ln pupal weight divided by larval development time),ln(mg day-1),PATO:0040046,single organismal growth rate,high,"The VecTraits entry describes the growth rate of an individual organism, which aligns with the definition of 'single organismal growth rate' as the change in size of an individual entity."
weight loss,proportionate weight loss in relation to temperature and population,proportion,HP:0001824,Weight loss,medium,"The VecTraits entry describes weight loss, which aligns with the label of HP:0001824, despite the lack of a definition."
feeding rate,mean lifetime feeding punctures,feeding punctures individual-1,OBA:1000748,feeding behavior quality,high,"The VecTraits entry describes a trait related to feeding behavior, specifically the mean lifetime feeding punctures, which aligns with the concept of 'feeding behavior quality'."
EIP (extrinsic incubation period),day sporozoites first detected in salivary glands,days,PATO:0001309,duration,medium,"The trait 'extrinsic incubation period' refers to the duration of time until sporozoites are detected, which aligns with the concept of 'duration' as a process quality."
oocyst intensity,not stated,not stated,PATO:0000049,intensity,medium,"The term 'intensity' is a general match for 'oocyst intensity' as it refers to a quality of degree or effect, but lacks specificity to oocysts."
copulation duration,mean copulation duration,hours individual-1 lifetime-1,PATO:0001309,duration,medium,"The VecTraits entry describes a temporal extent of copulation, which aligns with the general concept of 'duration' as a process quality."
prey consumption,mean number of prey consumed,number of individual prey individual-1,OBA:1000690,food consumption quality,medium,"Prey consumption can be considered a type of food consumption, but the term does not specifically address prey, leading to medium confidence."
parasite maturation time,mean duration time from infective feed to mature infection,days,PATO:0001309,duration,medium,"The VecTraits entry describes a temporal extent from start to end of a process, which aligns with the concept of 'duration'."
interlarval period,mean frequency of larval production,days,PATO:0001309,duration,medium,"The trait 'interlarval period' refers to the time between larval productions, which aligns with the concept of 'duration' as a temporal extent."
survival,probability of survival after exposure to extreme temperatures,probability,PATO:0000719,viable,medium,"The term 'viable' relates to the ability to survive, which aligns with the VecTraits entry's focus on survival probability after exposure to extreme temperatures."
fat consumption rate,mean daily rate of fat consumption,mg day-1,PATO:0000161,rate,medium,"The trait 'fat consumption rate' refers to a rate of consumption, which aligns with the general concept of 'rate' as a process occurring per unit time."
blood feeding,mean lifetime blood feeds,blood meals individual-1,OBA:1000748,feeding behavior quality,high,"The trait 'blood feeding' refers to a behavior related to feeding, which aligns with the concept of 'feeding behavior quality'."
relative activity,amount of activity as a percentage of maximum recorded activity,percent,PATO:0001414,catalytic activity,medium,"The VecTraits entry describes a percentage of maximum activity, which aligns with the concept of catalytic activity as a measure of action, though not explicitly relative."
starvation tolerance,individual-level starvation tolerance as a function of temperature and body size (interactor1size),days,PATO:0002393,increased tolerance to,medium,"The VecTraits entry describes starvation tolerance as a function of temperature and body size, which aligns with the concept of increased ability to endure a stimulus."
recovery time,individual-level duration to recover movement after exposure to extreme temperature,seconds,PATO:0001309,duration,high,The trait 'recovery time' is best described by the term 'duration' as it refers to the temporal extent between the starting and ending point of recovery after exposure to extreme temperature.
survival,individual-level binomial survival,1 = survived life stage,PATO:0000719,viable,medium,"The VecTraits entry describes survival as a binary trait, which aligns with the concept of viability in terms of the ability to survive."
bloodmeal weight,individual-level weight of bloodmeal,mg,PATO:0000125,mass,medium,"The trait 'bloodmeal weight' refers to the mass of the bloodmeal, which aligns with the concept of 'mass' in PATO."
knockdown time,mean time for 50% knockdown of femelaes under exposure to deltamethrin concentration (see notes),minutes,PATO:0001309,duration,medium,"The trait 'knockdown time' refers to the temporal extent of a process, which aligns with the definition of 'duration' as a process quality related to time."
feeding time,mean duration of adult female feeding developmental phase,days,PATO:0001309,duration,high,"The VecTraits entry describes the mean duration of a feeding phase, which aligns with the concept of 'duration' as a process quality."
egg size,mean weight of egg mass produced by adult female ticks,mg,PATO:0000117,size,medium,"The VecTraits entry describes the mean weight of egg mass, which relates to the physical magnitude or size of the eggs, but none of the terms specifically address egg weight, making this a partial match."
sex ratio,ratio of male ticks to female ticks,ratio,PATO:0001338,mixed sex,medium,"The term 'mixed sex' encompasses a mixture of males and females, which aligns with the concept of a sex ratio."
feeding time,mean duration of feeding developmental phase,days,PATO:0001309,duration,high,"The VecTraits entry describes the mean duration of a feeding phase, which aligns with the concept of 'duration' as a process quality related to temporal extent."
fertility,percentage of females that laid fertile eggs,percent,OBA:VT0001923,female fertility trait,high,"The VecTraits entry specifically refers to the fertility of females, which aligns with the definition of 'female fertility trait'."
oviposition failure,mean probability of failure to oviposit,probability,PATO:0001511,non-functional,medium,"The term 'non-functional' aligns with the concept of 'failure to oviposit' as it implies an inability to perform a regular function, which in this case is oviposition."
weight loss,cumulative weight loss across time (see notes for time intervals),percent,HP:0001824,Weight loss,medium,"The VecTraits entry describes weight loss over time, which aligns with the general concept of 'Weight loss' despite the lack of a detailed definition."
weight loss,mean weight loss,mg,HP:0001824,Weight loss,high,"The VecTraits entry 'weight loss' directly corresponds to the ontology term 'Weight loss' with the same name, despite the lack of a definition."
feeding preference,mean number of individual ticks selecting to feed on human (see notes for %),individuals,NBO:0000141,food preference,medium,"The VecTraits entry describes a preference for feeding on humans, which aligns with the concept of 'food preference' despite the lack of a definition for the ontology term."
molting period (larval),mean duration of life stage,days,PATO:0001309,duration,medium,"The VecTraits entry describes the mean duration of a life stage, which aligns with the concept of 'duration' as a process quality."
pre-hatch period,number of days until hatching,days,PATO:0001309,duration,medium,"The trait 'pre-hatch period' refers to the temporal extent of a process, which aligns with the concept of 'duration'."
reproductive capacity,proportion of individuals that laid eggs after first blood meal,proportion,PATO:0001434,reproductive quality,high,"The VecTraits entry describes a trait related to the ability to produce offspring, which aligns with the concept of 'reproductive quality' as an organismal quality."
lifespan,mean duration of entrie lifespan (from egg to adult death),days,OBA:VT0005372,life span determination trait,high,"The VecTraits entry describes the mean duration of an organism's lifespan, which aligns with the process quality of determining adult lifespan as described by OBA:VT0005372."
head capsule width,mean width of head capsule,mm,OBA:VT0000027,head width,high,The VecTraits entry 'head capsule width' closely aligns with the ontology term 'head width' as both refer to the width of a head structure.
mortality rate,inverse of mean longevity,days-1,PATO:0000161,rate,medium,"The term 'rate' is a general concept that aligns with the definition of mortality rate as a process occurring per unit time, but it lacks specificity to mortality."
life cycle,mean duration of entire life cycle,days,PATO:0000050,life span,high,"The VecTraits entry describes the mean duration of an organism's life cycle, which aligns with the concept of life span as a time quality related to the organism's age."
growth rate,mean relative growth rate (ln(adult moult weight (ug)) - ln(birth wt (ug))/development time),ug ug-1 day-1,PATO:0001492,growth rate,high,"The PATO:0001492 term 'growth rate' directly aligns with the VecTraits entry definition as it describes the rate of change in size of an individual entity, which matches the calculation of growth rate in the VecTraits entry."
body length,replicate-level mean body length,mm,OBA:VT0001256,body length,high,"The VecTraits entry 'body length' directly corresponds to the ontology term 'body length' which refers to the length of a multicellular organism, matching both the trait name and definition."
body size (alate nymph),mean wet mass,days,OBA:VT0100005,body size trait,high,"The term 'body size trait' refers to the size of a multicellular organism, which aligns with the VecTraits entry describing the mean wet mass of an alate nymph."
development duration,period at 4th instar,days,PATO:0001309,duration,medium,"The VecTraits entry describes a temporal extent of a developmental stage, which aligns with the general concept of 'duration' as a process quality."
pre-reproductive period,period of time before female aphids reproduce,days,PATO:0001309,duration,medium,"The trait 'pre-reproductive period' refers to a temporal extent, which aligns with the concept of 'duration' as a process quality."
reproductive period,period of time where female aphids reproduce,days,PATO:0001309,duration,medium,"The VecTraits entry describes a temporal extent of a reproductive process, which aligns with the concept of 'duration'."
survival,cumulative daily survival,lx,PATO:0000719,viable,medium,"The term 'viable' relates to the ability to survive, which aligns with the concept of cumulative daily survival, although it is not a perfect match."
adult longevity,period from adult emergence until death,days,OBA:VT0005372,life span determination trait,high,The term 'life span determination trait' closely aligns with the concept of 'adult longevity' as it pertains to the determination of adult lifespan.
percent survival,percent of adult aphids that were still alive each day,percent,PATO:0000719,viable,medium,"The term 'viable' relates to the ability to survive, which aligns with the concept of 'percent survival' in aphids, although it is not a perfect match."
feeding behavior,initiation of stylet penetration of leaf tissue,percent,OBA:1000748,feeding behavior quality,medium,"The VecTraits entry describes a specific aspect of feeding behavior, which aligns with the quality of feeding behavior, but the match is not perfect due to the lack of a precise definition."
Reproductive average,Period from the adult stage (genital plate appeared and the complete development of the cauda) until the end of reproduction,days,PATO:0001434,reproductive quality,medium,"The VecTraits entry describes a period related to reproduction, which aligns with the concept of reproductive quality as it pertains to the ability to produce offspring."
hypostome length,mean length of hypostome (appendage on the mouth),mm,PATO:0000122,length,medium,"The VecTraits entry describes a measurement of length, which aligns with the general concept of 'length' in PATO, but lacks specificity to hypostome."
body width,mean width (engorged),mm,OBA:VT0015039,body width,high,"The VecTraits entry 'body width' directly corresponds to the ontology term 'body width' which refers to the width of a multicellular organism, matching the context of the trait."
feeding period,mean duration of feeding period,days,PATO:0001309,duration,medium,"The VecTraits entry describes the mean duration of a feeding period, which aligns with the concept of 'duration' as a process quality related to temporal extent."
Pre-Oviposition Period,Pre-oviposition period of ticks held at constant temperature,days,PATO:0001309,duration,medium,"The trait 'Pre-Oviposition Period' refers to the duration of time before oviposition, which aligns with the concept of 'duration' as a process quality."
Oviposition Rate,mean number of eggs per female,eggs,PATO:0000161,rate,medium,"The term 'rate' is a general concept that can encompass the mean number of eggs per female, but it lacks specificity to oviposition."
Weight,Weight of eggs laid by an individual engorged female raised at constant temp,g,PATO:0000125,mass,high,"The VecTraits entry describes the weight of eggs, which aligns with the concept of 'mass' as per PATO's definition for biological contexts."
Weight,Weight of an individual engorged female in grams held at constant temperature,g,PATO:0000125,mass,high,"The VecTraits entry describes the weight of an organism, which aligns with the PATO term 'mass' as it is used for biological contexts."
Incubation Period,Incubation period of ticks held at constant temperature,days,PATO:0001309,duration,medium,"The term 'duration' encompasses the concept of a temporal extent, which aligns with the incubation period of ticks, but lacks specificity regarding incubation."
Molting Period,number of days required for an individual engorged nymph to molt into an adult,days,GO:0022404,molting cycle process,medium,"The VecTraits entry describes a specific aspect of the molting cycle, which aligns with the general concept of a molting cycle process."
Feeding Period,number of days required for nymphs to fully engorge,days,PATO:0001309,duration,medium,"The VecTraits entry describes a temporal extent (number of days) for a biological process (feeding period), which aligns with the concept of 'duration'."
Feeding Period of Nymphs (Days),number of days required for nymphs to fully engorge,days,PATO:0001309,duration,medium,"The trait 'Feeding Period of Nymphs (Days)' refers to the temporal extent of a process, which aligns with the concept of 'duration'."
feeding period,mean Feeding Period in days at larval state at constant temps,days,PATO:0001309,duration,high,"The VecTraits entry describes the duration of a feeding period in days, which aligns with the concept of 'duration' as a process quality."
feeding period,mean Feeding Period in days at adult female state at const temps,days,PATO:0001309,duration,medium,"The VecTraits entry describes the duration of a feeding period, which aligns with the concept of 'duration' as a process quality."
weight loss,Percentage loss in body weight during female prefeeding period,percent,HP:0001824,Weight loss,medium,"The trait 'weight loss' during the prefeeding period aligns with the general concept of 'Weight loss', despite the lack of a specific definition in the ontology term."
hardening period,mean time for a tick to become hardened,days,PATO:0001309,duration,medium,"The trait 'hardening period' refers to the time duration for a tick to become hardened, which aligns with the concept of 'duration' as a process quality."
engorgement period,mean time required for females to become engorged,days,PATO:0001309,duration,medium,"The trait 'engorgement period' refers to the time duration for a process, which aligns with the concept of 'duration' as a process quality."
egg count,mean number of eggs layed,mg,OBA:VT1000294,egg quantity,high,"The trait 'egg count' refers to the number of eggs laid, which aligns with the concept of 'egg quantity' as the amount of egg cells."
premolting period,average pre-moulting period engorged on calves,days,PATO:0001309,duration,medium,"The trait 'premolting period' refers to the temporal extent of a process, which aligns with the concept of 'duration'."
engorgement period,average duration of engorgement on calves,days,PATO:0001309,duration,medium,"The trait 'engorgement period' refers to the duration of a process, which aligns with the concept of 'duration' in PATO:0001309, although it is not specific to engorgement."
engorgement period,average duration of engorgement on rabbits,days,PATO:0001309,duration,medium,"The trait 'engorgement period' refers to the duration of a process, which aligns with the general concept of 'duration' in PATO:0001309, though it lacks specificity to engorgement."
feeding time,time required for larval ticks to reach engorgement post attachment,days,PATO:0001309,duration,high,"The VecTraits entry describes the time required for a process (feeding) to complete, which aligns with the concept of 'duration' as a process quality."
molting period,time required for engorged larval ticks to molt,days,GO:0022404,molting cycle process,medium,"The VecTraits entry describes a specific aspect of the molting cycle, which is the time required for larval ticks to molt, aligning with the concept of a molting cycle process."
pre hatching period,mean time until hatching,days,PATO:0001309,duration,medium,"The VecTraits entry describes a temporal extent (mean time until hatching), which aligns with the concept of 'duration' as a process quality."
lipid content,median proportion of lipid content of the tick- calculated by (dried weight - lipid weight) / dried weight,NA,OBA:VT0001547,lipid amount,high,"The VecTraits entry describes the proportion of lipid content in ticks, which aligns with the measurement of lipid amount in an anatomical entity."
Questing Height,questing height -- Average (across 38 hours and interactor1number of ticks) mm from the lower end of the tube - measured along the length of the tube. Tube is at a 15* incline,mm,PATO:0000119,height,medium,"The trait 'questing height' refers to a vertical dimension of extension, which aligns with the general concept of 'height' in PATO:0000119."
Distance Traveled,Average distance covered per hour while questing,mm,PATO:0040032,increased linear velocity,medium,"The trait 'Distance Traveled' involves measuring distance over time, which aligns with the concept of linear velocity, although the term 'increased' may not fully match the average aspect."
Questing Time,Mean proportion of time tick seen questing (legs spread more than 50 percent) across the 38 hours,percent,PATO:0001309,duration,medium,"The trait 'Questing Time' involves measuring the temporal extent of a behavior, which aligns with the concept of 'duration' as a process quality."
Questing Height,questing height -- Average (across 43 hours and interactor1number of ticks) mm from the lower end of the tube - measured along the length of the tube. Tube is at a 15* incline,mm,PATO:0000119,height,medium,"The trait 'questing height' refers to a vertical dimension of extension, which aligns with the general concept of 'height' in PATO:0000119."
Mortality Rate,number that survived the 38 hours,count,PATO:0001492,growth rate,low,"The concept of mortality rate involves counting survivors, which is somewhat related to population change, but none of the terms directly match mortality rate."
Mortality Rate,number that survived the 43 hours,count,PATO:0001492,growth rate,low,"The concept of 'mortality rate' involves a change in number of a population, which is somewhat related to 'growth rate', but the match is not exact."
Water loss,Water loss of ticks exposed to dry air for 24 hours,mg/cm2,PATO:0001801,decreased water composition,medium,"The VecTraits entry describes water loss, which aligns with a reduction in water amount, but the context of 'composition' may not fully capture the specific measurement of water loss in ticks."
Weight loss,Weight loss of ticks exposed to dry air for 24 hours,percent,PATO:0000583,decreased weight,medium,"The VecTraits entry describes weight loss, which aligns with the concept of decreased weight, although the specific context of ticks and dry air is not captured in the ontology term."
Water loss,Water loss of dead engorged ticks exposed to dry air at a certain temperature for 30 mins,mg/cm2,PATO:0001801,decreased water composition,medium,"The trait describes water loss, which aligns with a reduction in water amount, but the context of dead ticks and specific conditions makes the match less direct."
mortality rate,per capita daily mortality,individual-1 day-1,PATO:0000161,rate,medium,"The term 'rate' is a general concept that encompasses the occurrence of a process per unit time, which aligns with the definition of 'mortality rate' as per capita daily mortality."
blood feeding frequency,mean lifetime blood meals individual-1,blood meals,PATO:0000044,frequency,high,"The trait 'blood feeding frequency' refers to the number of repetitive actions (blood meals) over a lifetime, which aligns with the definition of 'frequency' as a physical quality related to repetitive actions."
egg viability,mean percentage of viable eggs produced per female,eggs individual-1,PATO:0000169,viability,medium,"The trait 'egg viability' refers to the ability of eggs to survive and develop, which aligns with the general concept of 'viability' as an organismal quality."
fat content,mean lipid content per individual,ug mg-1 individual-1,PATO:0000025,composition,medium,"The trait 'fat content' refers to the lipid composition of an individual, which aligns with the general concept of 'composition' in PATO:0000025."
pre-blood meal period,average duration from emergence to first blood meal,days,PATO:0001309,duration,medium,"The trait 'pre-blood meal period' refers to a temporal extent, which aligns with the concept of 'duration' as a process quality."
resource consumption rate,mean daily resource consumption rate,cm2 day-1,PATO:0000161,rate,high,"The trait 'resource consumption rate' is best described by the general concept of 'rate', which refers to a process occurring per unit time, aligning with the definition and unit provided."
blood feeding,percent taking one bloodmeal,percent,OBA:1000748,feeding behavior quality,high,The trait 'blood feeding' with definition 'percent taking one bloodmeal' aligns with the concept of 'feeding behavior quality' as it describes a specific aspect of feeding behavior.
lipid content,mean lipid content per individual,ug,OBA:VT0001547,lipid amount,high,The VecTraits entry 'lipid content' aligns with the ontology term 'lipid amount' as both refer to the measurement of lipid quantity in a biological context.
protein content,mean protein content per individual,ug,PATO:0103004,total amount,medium,"The trait 'protein content' refers to a quantitative measure of protein, which aligns with the concept of 'total amount' as a sum of all protein components."
ovariole number,mean number of ovarioles per individual,ovarioles individual-1,PATO:0001555,has number of,high,"The trait 'ovariole number' refers to the count of a specific type of part (ovarioles) in an organism, which aligns with the relational quality described by 'has number of'."
resource consumption rate,mean lifetime prey consumed,individual prey individual-1,PATO:0000161,rate,medium,"The VecTraits entry describes a rate of prey consumption, which aligns with the general concept of 'rate' as a process occurring per unit time, although it does not specify prey consumption explicitly."
survival,percent surviving life stage (across all humidity levels),percent,PATO:0000719,viable,medium,"The VecTraits entry describes survival as a percentage, which aligns with the concept of viability in a population's ability to survive."
hatch time,mean duration of life stage,hours,PATO:0001309,duration,high,"The term 'duration' directly corresponds to the mean duration of a life stage, which is the definition of 'hatch time'."
chill-coma recovery time,mean duration for individuals to regain full movement after being cold shocked as function of growth temperature,minutes,PATO:0001309,duration,high,"The trait 'chill-coma recovery time' is best described by the temporal extent between the starting and ending point of recovery, which aligns with the definition of 'duration'."
chill-coma recovery time,mean duration for individuals to regain full movement after being cold shocked as function of adult temperature,minutes,PATO:0001309,duration,medium,"The trait 'chill-coma recovery time' refers to the duration of a process, which aligns with the definition of 'duration' as the temporal extent between starting and ending points."
heat knockdown time,mean duration individuals can tolerate heat exposure before movement ceases as a function of adult temperature,minutes,PATO:0001309,duration,high,"The trait 'heat knockdown time' is fundamentally about the temporal extent of a process, which aligns with the concept of 'duration'."
heat knockdown time,mean duration individuals can tolerate heat exposure before movement ceases as a function of sex and growth temperature,minutes,PATO:0001309,duration,medium,"The trait 'heat knockdown time' refers to the duration individuals can tolerate heat, which aligns with the concept of 'duration' as a process quality."
consumption rate,mean relative consumption rate,mg of aphids,PATO:0000161,rate,medium,"The VecTraits entry describes a consumption rate, which aligns with the general concept of 'rate' as a process occurring per unit time, but lacks specificity regarding the type of consumption."
growth rate,mean daily growth rate (the product of ln pupal weight divided by larval development time),ln(mg day-1),PATO:0040046,single organismal growth rate,high,"The VecTraits entry describes the growth rate of an individual organism, which aligns with the definition of 'single organismal growth rate' as the rate of change in size of an individual entity."
weight loss,proportionate weight loss in relation to temperature and population,proportion,PATO:0000583,decreased weight,medium,"The VecTraits entry describes weight loss, which aligns with the concept of decreased weight, although it lacks specific context regarding temperature and population."
feeding rate,mean lifetime feeding punctures,feeding punctures individual-1,OBA:1000748,feeding behavior quality,high,"The VecTraits entry describes a trait related to feeding behavior, specifically the mean lifetime feeding punctures, which aligns with the concept of 'feeding behavior quality'."
EIP (extrinsic incubation period),day sporozoites first detected in salivary glands,days,PATO:0001309,duration,medium,"The trait 'extrinsic incubation period' refers to the duration of time for a process, which aligns with the concept of 'duration' as a process quality."
oocyst intensity,not stated,not stated,PATO:0000049,intensity,medium,"The term 'intensity' is a general concept that can encompass 'oocyst intensity', but without a specific definition, the match is not highly confident."
copulation duration,mean copulation duration,hours individual-1 lifetime-1,PATO:0001309,duration,medium,"The VecTraits entry describes a temporal extent of copulation, which aligns with the general concept of 'duration' as a process quality."
prey consumption,mean number of prey consumed,number of individual prey individual-1,OBA:1000690,food consumption quality,medium,"Prey consumption can be considered a type of food consumption, but the term does not specifically address prey, hence medium confidence."
parasite maturation time,mean duration time from infective feed to mature infection,days,PATO:0001309,duration,medium,"The VecTraits entry describes a temporal extent from start to end of a process, which aligns with the concept of 'duration'."
interlarval period,mean frequency of larval production,days,PATO:0001309,duration,medium,"The trait 'interlarval period' refers to the temporal extent between larval productions, which aligns with the concept of 'duration' as a process quality."
survival,probability of survival after exposure to extreme temperatures,probability,PATO:0000719,viable,medium,"The term 'viable' relates to the ability to survive, which aligns with the VecTraits entry's focus on survival probability after exposure to extreme temperatures."
fat consumption rate,mean daily rate of fat consumption,mg day-1,PATO:0000161,rate,medium,"The trait 'fat consumption rate' refers to a rate of consumption per unit time, which aligns with the general concept of 'rate' in PATO:0000161."
blood feeding,mean lifetime blood feeds,blood meals individual-1,OBA:1000748,feeding behavior quality,high,"The trait 'blood feeding' refers to a behavior related to feeding, which aligns with the concept of 'feeding behavior quality'."
relative activity,amount of activity as a percentage of maximum recorded activity,percent,PATO:0001414,catalytic activity,medium,"The VecTraits entry describes a percentage of maximum activity, which aligns with the concept of catalytic activity as a measure of action, though not explicitly relative."
starvation tolerance,individual-level starvation tolerance as a function of temperature and body size (interactor1size),days,PATO:0002393,increased tolerance to,medium,"The VecTraits entry describes starvation tolerance, which aligns with the concept of increased ability to endure a stimulus, but the specific context of starvation is not explicitly covered by the ontology term."
recovery time,individual-level duration to recover movement after exposure to extreme temperature,seconds,PATO:0001309,duration,high,The trait 'recovery time' is best described by the term 'duration' as it refers to the temporal extent between the starting and ending point of recovery after exposure to extreme temperature.
survival,individual-level binomial survival,1 = survived life stage,PATO:0000719,viable,medium,"The VecTraits entry describes individual-level survival, which aligns with the concept of viability as the ability to survive."
bloodmeal weight,individual-level weight of bloodmeal,mg,PATO:0000125,mass,high,"The trait 'bloodmeal weight' refers to the mass of the bloodmeal, which aligns with the PATO term for 'mass'."
knockdown time,mean time for 50% knockdown of femelaes under exposure to deltamethrin concentration (see notes),minutes,PATO:0001309,duration,high,"The trait 'knockdown time' refers to the temporal extent of a process, which aligns with the definition of 'duration' as a process quality."
feeding time,mean duration of adult female feeding developmental phase,days,PATO:0001309,duration,high,"The VecTraits entry describes the mean duration of a developmental phase, which aligns with the concept of 'duration' as a process quality."
egg size,mean weight of egg mass produced by adult female ticks,mg,PATO:0000117,size,medium,"The trait 'egg size' refers to the physical magnitude of the egg, which aligns with the general concept of 'size' in PATO ontology."
sex ratio,ratio of male ticks to female ticks,ratio,PATO:0001338,mixed sex,medium,"The term 'mixed sex' encompasses a mixture of males and females, which aligns with the concept of a sex ratio."
feeding time,mean duration of feeding developmental phase,days,PATO:0001309,duration,high,"The VecTraits entry describes the mean duration of a feeding phase, which aligns with the concept of 'duration' as a process quality related to temporal extent."
fertility,percentage of females that laid fertile eggs,percent,OBA:VT0001923,female fertility trait,high,"The VecTraits entry specifically refers to the fertility of females, which aligns with the 'female fertility trait' term."
oviposition failure,mean probability of failure to oviposit,probability,PATO:0001511,non-functional,medium,"The term 'non-functional' aligns with the concept of 'failure to oviposit' as it implies an inability to perform a regular function, which in this case is oviposition."
weight loss,cumulative weight loss across time (see notes for time intervals),percent,HP:0001824,Weight loss,high,"The VecTraits entry 'weight loss' aligns with the ontology term 'Weight loss' (HP:0001824), which, despite lacking a definition, directly matches the concept of cumulative weight loss."
weight loss,mean weight loss,mg,HP:0001824,Weight loss,high,"The VecTraits entry 'weight loss' aligns with the ontology term 'Weight loss' (HP:0001824) as both refer to a reduction in weight, despite the lack of a definition for the ontology term."
feeding preference,mean number of individual ticks selecting to feed on human (see notes for %),individuals,NBO:0000141,food preference,medium,"The VecTraits entry describes a preference for feeding on humans, which aligns with the concept of 'food preference' despite the lack of a definition for the term."
survival rate,percent surviving to oviposition,percent,PATO:0001492,growth rate,medium,"The concept of 'survival rate' as a percentage surviving to oviposition is somewhat related to 'growth rate' in terms of population change, but it is not a perfect match."
molting period (larval),mean duration of life stage,days,PATO:0001309,duration,medium,"The VecTraits entry describes the duration of a life stage, which aligns with the concept of 'duration' as a process quality."
pre-hatch period,number of days until hatching,days,PATO:0001309,duration,medium,"The trait 'pre-hatch period' refers to the temporal extent of a process, which aligns with the concept of 'duration'."
reproductive capacity,proportion of individuals that laid eggs after first blood meal,proportion,PATO:0001434,reproductive quality,high,"The VecTraits entry describes a trait related to the ability to produce offspring, which aligns with the definition of 'reproductive quality'."
lifespan,mean duration of entrie lifespan (from egg to adult death),days,OBA:VT0005372,life span determination trait,high,"The VecTraits entry describes the mean duration of an organism's lifespan, which aligns with the process quality of determining adult lifespan as described by OBA:VT0005372."
head capsule width,mean width of head capsule,mm,OBA:VT0000027,head width,high,The trait 'head capsule width' closely aligns with 'head width' as both refer to the width of a head structure.
mortality rate,inverse of mean longevity,days-1,PATO:0000161,rate,medium,"The term 'rate' is a general concept that encompasses the occurrence of a process per unit time, which aligns with the definition of mortality rate as the inverse of mean longevity."
