trait_name,trait_def,trait_unit,best_match_id,best_match_label,confidence,reasoning
mortality,time taken for 50% of adults to die,days,NO_MATCH,NO_MATCH,high,"The VecTraits entry describes a time-based measure of mortality, while all candidate ontology terms refer to protein levels in various fluids."
sex ratio,mean proportion of female adults cohort-1,ratio,NO_MATCH,NO_MATCH,high,None of the candidate terms specifically address the concept of 'sex ratio' as the mean proportion of female adults in a cohort.
sex ratio,ratio of male psyllids to female psyllids,ratio,NO_MATCH,NO_MATCH,high,"None of the candidate terms specifically address the concept of a sex ratio, which is a quantitative measure of the proportion of males to females."
cold hardiness,percent of eggs hatched after being exposed to freezing temperatures for a given duration of time,percent,NO_MATCH,NO_MATCH,high,None of the candidate terms describe the trait of cold hardiness as the percentage of eggs hatched after exposure to freezing temperatures.
temperature thresholds for oviposition,number of psyllid eggs laid over a 48 hour period at temperatures at which female psyllids were held,number of eggs,NO_MATCH,NO_MATCH,high,None of the candidate terms specifically address the concept of temperature thresholds for oviposition in psyllids.
nymph production,number of nymphs produced / female,number of nymphs produced / female,NO_MATCH,NO_MATCH,high,"None of the candidate ontology terms relate to nymph production, which is specific to the reproductive output of female organisms, not cytokine or serotonin production."
Pre-reproductive average,Period from birth until first molt,days,NO_MATCH,NO_MATCH,high,"None of the candidate ontology terms relate to the period from birth until first molt, which is a developmental time trait, not covered by the provided options."
Post-reproductive average,period from the end of reproduction until death,days,NO_MATCH,NO_MATCH,high,None of the candidate ontology terms relate to the concept of a post-reproductive period or lifespan.
peak fecundity,day post engorgement on which an individual female laid most eggs,days,NO_MATCH,NO_MATCH,high,"None of the candidate terms specifically address the timing of peak fecundity, which is the day post engorgement when most eggs are laid."
survival rate,percentage of unfed adults that survive,percent,NO_MATCH,NO_MATCH,high,None of the candidate ontology terms specifically represent the concept of 'survival rate' as defined in the VecTraits entry.
percent moult,percentage moulted engorged on calves,days,NO_MATCH,NO_MATCH,high,None of the candidate ontology terms relate to the concept of percentage moulted engorged on calves.
percent moult,percentage moulted engorged on rabbits,percent,NO_MATCH,NO_MATCH,high,None of the candidate ontology terms relate to the concept of percentage moulted engorged on rabbits.
questing,mean percent of ticks questing,percent,NO_CANDIDATES,NO_CANDIDATES,none,No OBA/PATO candidates found via API
oviposition,daily average number of eggs / female,eggs,NO_CANDIDATES,NO_CANDIDATES,none,No OBA/PATO candidates found via API
Development Rate,percent of immature stages remaining x days after attatchment,percent,NO_MATCH,NO_MATCH,high,"None of the candidate ontology terms specifically describe the development rate of immature stages in a general context, as described in the VecTraits entry."
Efficency,Percent weight transfered from engorged female at constant temperature to mass of eggs,percent,NO_CANDIDATES,NO_CANDIDATES,none,No OBA/PATO candidates found via API
age specific fecundity,mean number of female offspring individual-1 at specific age,females individual-1,NO_MATCH,NO_MATCH,high,"None of the candidate terms specifically capture the concept of age-specific fecundity, which involves fecundity measured at specific ages."
fecundity,mean duration of life stage,progeny individual-1,NO_MATCH,NO_MATCH,high,The VecTraits entry describes 'mean duration of life stage' which does not align with the reproductive capacity or number of progeny implied by the ontology terms for fecundity.
maximum fecundity,mean duration from onset of reproduction to maximum reproductive output,days,NO_MATCH,NO_MATCH,high,"None of the candidate terms specifically address the duration from onset of reproduction to maximum reproductive output, which is a temporal aspect of fecundity."
fecundity rate,mean duration of life stage,progeny individual-1 day-1,NO_MATCH,NO_MATCH,high,"The VecTraits entry describes a rate related to life stage duration, not directly related to fecundity as defined by the number of progeny or gametes."
molt success rate (nymphal),percentage that molted,percent,NO_MATCH,NO_MATCH,high,None of the candidate terms specifically relate to molting or the success rate of molting in nymphs.
hatchability,mean percentage of eggs hatching,percent,NO_CANDIDATES,NO_CANDIDATES,none,No OBA/PATO candidates found via API
larval hatch rate,percentage of unfertilized eggs that were subsequently fertilized,percent,NO_MATCH,NO_MATCH,high,None of the candidate terms specifically represent the concept of 'larval hatch rate' as defined in the VecTraits entry.
hatch rate,percentage of unfertilized eggs that were subsequently fertilized,percent,NO_MATCH,NO_MATCH,high,"None of the candidate terms specifically represent the concept of hatch rate, which is the percentage of unfertilized eggs that were subsequently fertilized."
hatchability,the percent of laid eggs that successfully hatched,percent,NO_CANDIDATES,NO_CANDIDATES,none,No OBA/PATO candidates found via API
hatchability,percent of eggs successfully hatching based on the day of oviposition during which it was laid,percent,NO_CANDIDATES,NO_CANDIDATES,none,No OBA/PATO candidates found via API
hatchability,percent surviving life stage,percent,NO_CANDIDATES,NO_CANDIDATES,none,No OBA/PATO candidates found via API
total preoviposition period,mean duration from egg to onset of reproduction,days,NO_MATCH,NO_MATCH,high,None of the candidate ontology terms represent the concept of the duration from egg to onset of reproduction.
reproductive and post-reproductive periods,mean duration of life stage,days,NO_MATCH,NO_MATCH,high,None of the candidate terms specifically address the duration of reproductive and post-reproductive periods in terms of time or life stage duration.
oviposition,period of oviposition in days,days,NO_CANDIDATES,NO_CANDIDATES,none,No OBA/PATO candidates found via API
preoviposition,Mean preoviposition period in days,days,NO_CANDIDATES,NO_CANDIDATES,none,No OBA/PATO candidates found via API
oviposition,Mean ovipostion period in days,days,NO_CANDIDATES,NO_CANDIDATES,none,No OBA/PATO candidates found via API
mortality,percent not surviving life stage,percent,NO_MATCH,NO_MATCH,high,"The VecTraits entry describes a general mortality trait as a percentage, which does not correspond to any specific protein level measurement in the candidate ontology terms."
mortality,mean duration of life stage,days,NO_MATCH,NO_MATCH,high,"The VecTraits entry describes the mean duration of a life stage in days, which is unrelated to the levels of mortality factor proteins in blood or cerebrospinal fluid."
mortality,cummulative mortality percentage across immature stages,percent,NO_MATCH,NO_MATCH,high,"The VecTraits entry describes cumulative mortality percentage across immature stages, which is unrelated to the levels of specific proteins in blood or cerebrospinal fluid."
mortality,proportion not surviving life stage,proportion,NO_MATCH,NO_MATCH,high,"The VecTraits entry describes mortality as a proportion not surviving a life stage, which is unrelated to the levels of specific proteins in blood or cerebrospinal fluid."
mortality,time to 50% mortality,days,NO_MATCH,NO_MATCH,high,"The VecTraits entry describes a time-based measure of mortality, while the candidate ontology terms refer to protein levels in various fluids, which are unrelated concepts."
mortality (adult),mean duration for 100% mortality (unfed adults),weeks,NO_MATCH,NO_MATCH,high,None of the candidate ontology terms relate to the concept of adult mortality duration in weeks.
longevity,mean duration of life stage as a function of body size,days,NO_MATCH,NO_MATCH,high,"The VecTraits entry describes longevity as a function of body size, which is not directly covered by the candidate term focused on lifespan determination."
mortality,percentage not surviving life stage,percent,NO_MATCH,NO_MATCH,high,"The VecTraits entry describes mortality as a percentage not surviving a life stage, which is unrelated to the levels of specific proteins in blood or cerebrospinal fluid."
mortality,mean percent not surviving life stage,percent,NO_MATCH,NO_MATCH,high,"The VecTraits entry describes mortality as a percentage of individuals not surviving a life stage, which is unrelated to the levels of specific proteins in blood or cerebrospinal fluid."
longevity,percent not surviving life stage,days,NO_MATCH,NO_MATCH,high,"The VecTraits entry describes a measure of survival rate, not the determination of lifespan, which is what the candidate ontology term represents."
longevity,mean rate of life stage completion,days,NO_MATCH,NO_MATCH,high,"The VecTraits entry describes the mean rate of life stage completion, which is not the same as determining adult lifespan as described by the candidate ontology term."
survival rate,percent surviving life stage,percent,NO_MATCH,NO_MATCH,high,"None of the candidate terms specifically represent the concept of survival rate, which is the percentage of individuals surviving a life stage, not a rate of a process per unit time."
survival rate,percentage of ticks that survived the larval stage,percent,NO_MATCH,NO_MATCH,high,"None of the candidate terms specifically refer to survival rate, which is a measure of the percentage of individuals surviving a stage, not a rate of a process per unit time."
survival rate,percentage of ticks that survived the larval moult,percent,NO_MATCH,NO_MATCH,high,"None of the candidate ontology terms specifically represent the concept of survival rate, which is the percentage of individuals surviving a specific life stage transition."
survival rate,percentage of ticks that survived adult engorgement,percent,NO_MATCH,NO_MATCH,high,"None of the candidate terms specifically represent the concept of survival rate, which is the percentage of individuals surviving a specific process, not a rate per unit time."
survival rate,percentage of ticks that survived the nymphal stage,percent,NO_MATCH,NO_MATCH,high,"None of the candidate terms specifically refer to the survival rate of ticks or any survival rate, which is a distinct biological concept from the rates of specific processes or reflexes."
survival rate,percentage of ticks that survived the adult stage,percent,NO_MATCH,NO_MATCH,high,"None of the candidate terms specifically represent the concept of survival rate, which is the percentage of individuals surviving a life stage, not a rate per unit time."
survival rate,percentage of ticks that survived at 30 degrees celcius,percent,NO_MATCH,NO_MATCH,high,"None of the candidate terms specifically represent the concept of survival rate, which is distinct from general rates or specific biological processes."
