concept_group,ground_truth_decision,OriginalTraitName,OriginalTraitDef,OriginalTraitUnit,raw_record_count,data_quality_flag,decision_reason,V1_name_cluster_id,V1_name_cluster_total_size,V1_name_cluster_composition,V2_definition_cluster_id,V2_definition_cluster_total_size,V2_definition_cluster_composition,V3_unit_cluster_id,V3_unit_cluster_total_size,V3_unit_cluster_composition,V4_order_cluster_id,V4_order_cluster_total_size,V4_order_cluster_composition,V5_family_cluster_id,V5_family_cluster_total_size,V5_family_cluster_composition,V6_stage_cluster_id,V6_stage_cluster_total_size,V6_stage_cluster_composition,V7_class_cluster_id,V7_class_cluster_total_size,V7_class_cluster_composition,V8_phylum_cluster_id,V8_phylum_cluster_total_size,V8_phylum_cluster_composition
body_mass_or_weight,include,body size,mean dry mass,mg,6,,Explicit body-size label; retain definition/unit anomalies for audit,19,23,body_mass=17; linear=6; egg_excluded=0; other=0; total=23,4,46,body_mass=32; linear=9; egg_excluded=5; other=0; total=46,7,31,body_mass=31; linear=0; egg_excluded=0; other=0; total=31,5,21,body_mass=13; linear=8; egg_excluded=0; other=0; total=21,3,18,body_mass=13; linear=5; egg_excluded=0; other=0; total=18,6,18,body_mass=13; linear=5; egg_excluded=0; other=0; total=18,6,17,body_mass=13; linear=4; egg_excluded=0; other=0; total=17,6,17,body_mass=13; linear=4; egg_excluded=0; other=0; total=17
body_mass_or_weight,include,body size,mean dry mass. relationship between dry mass and wing length,mg,9,,Explicit body-size label; retain definition/unit anomalies for audit,19,23,body_mass=17; linear=6; egg_excluded=0; other=0; total=23,4,46,body_mass=32; linear=9; egg_excluded=5; other=0; total=46,7,31,body_mass=31; linear=0; egg_excluded=0; other=0; total=31,5,21,body_mass=13; linear=8; egg_excluded=0; other=0; total=21,3,18,body_mass=13; linear=5; egg_excluded=0; other=0; total=18,6,18,body_mass=13; linear=5; egg_excluded=0; other=0; total=18,6,17,body_mass=13; linear=4; egg_excluded=0; other=0; total=17,6,17,body_mass=13; linear=4; egg_excluded=0; other=0; total=17
body_mass_or_weight,include,body size,mean of weight (engorged),mg,2,,Explicit body-size label; retain definition/unit anomalies for audit,19,23,body_mass=17; linear=6; egg_excluded=0; other=0; total=23,4,46,body_mass=32; linear=9; egg_excluded=5; other=0; total=46,7,31,body_mass=31; linear=0; egg_excluded=0; other=0; total=31,7,28,body_mass=21; linear=0; egg_excluded=7; other=0; total=28,6,33,body_mass=21; linear=4; egg_excluded=7; other=1; total=33,7,32,body_mass=21; linear=4; egg_excluded=7; other=0; total=32,7,30,body_mass=21; linear=2; egg_excluded=7; other=0; total=30,7,32,body_mass=21; linear=4; egg_excluded=7; other=0; total=32
body_mass_or_weight,include,body size,mean of weight (unfed),mg,3,,Explicit body-size label; retain definition/unit anomalies for audit,19,23,body_mass=17; linear=6; egg_excluded=0; other=0; total=23,4,46,body_mass=32; linear=9; egg_excluded=5; other=0; total=46,7,31,body_mass=31; linear=0; egg_excluded=0; other=0; total=31,7,28,body_mass=21; linear=0; egg_excluded=7; other=0; total=28,6,33,body_mass=21; linear=4; egg_excluded=7; other=1; total=33,7,32,body_mass=21; linear=4; egg_excluded=7; other=0; total=32,7,30,body_mass=21; linear=2; egg_excluded=7; other=0; total=30,7,32,body_mass=21; linear=4; egg_excluded=7; other=0; total=32
body_mass_or_weight,include,body size,mean weight of engored nymphs,mg,1,,Explicit body-size label; retain definition/unit anomalies for audit,19,23,body_mass=17; linear=6; egg_excluded=0; other=0; total=23,4,46,body_mass=32; linear=9; egg_excluded=5; other=0; total=46,7,31,body_mass=31; linear=0; egg_excluded=0; other=0; total=31,7,28,body_mass=21; linear=0; egg_excluded=7; other=0; total=28,6,33,body_mass=21; linear=4; egg_excluded=7; other=1; total=33,7,32,body_mass=21; linear=4; egg_excluded=7; other=0; total=32,7,30,body_mass=21; linear=2; egg_excluded=7; other=0; total=30,7,32,body_mass=21; linear=4; egg_excluded=7; other=0; total=32
body_mass_or_weight,include,body size,mean weight of engorged tick,mg,1,,Explicit body-size label; retain definition/unit anomalies for audit,19,23,body_mass=17; linear=6; egg_excluded=0; other=0; total=23,4,46,body_mass=32; linear=9; egg_excluded=5; other=0; total=46,7,31,body_mass=31; linear=0; egg_excluded=0; other=0; total=31,7,28,body_mass=21; linear=0; egg_excluded=7; other=0; total=28,6,33,body_mass=21; linear=4; egg_excluded=7; other=1; total=33,7,32,body_mass=21; linear=4; egg_excluded=7; other=0; total=32,7,30,body_mass=21; linear=2; egg_excluded=7; other=0; total=30,7,32,body_mass=21; linear=4; egg_excluded=7; other=0; total=32
body_mass_or_weight,include,body size,mean weight of nymphs post-feeding,mg,18,,Explicit body-size label; retain definition/unit anomalies for audit,19,23,body_mass=17; linear=6; egg_excluded=0; other=0; total=23,4,46,body_mass=32; linear=9; egg_excluded=5; other=0; total=46,7,31,body_mass=31; linear=0; egg_excluded=0; other=0; total=31,7,28,body_mass=21; linear=0; egg_excluded=7; other=0; total=28,6,33,body_mass=21; linear=4; egg_excluded=7; other=1; total=33,7,32,body_mass=21; linear=4; egg_excluded=7; other=0; total=32,7,30,body_mass=21; linear=2; egg_excluded=7; other=0; total=30,7,32,body_mass=21; linear=4; egg_excluded=7; other=0; total=32
body_mass_or_weight,include,body size,mean wet mass,mg,268,,Explicit body-size label; retain definition/unit anomalies for audit,19,23,body_mass=17; linear=6; egg_excluded=0; other=0; total=23,4,46,body_mass=32; linear=9; egg_excluded=5; other=0; total=46,7,31,body_mass=31; linear=0; egg_excluded=0; other=0; total=31,5,21,body_mass=13; linear=8; egg_excluded=0; other=0; total=21,3,18,body_mass=13; linear=5; egg_excluded=0; other=0; total=18,6,18,body_mass=13; linear=5; egg_excluded=0; other=0; total=18,6,17,body_mass=13; linear=4; egg_excluded=0; other=0; total=17,6,17,body_mass=13; linear=4; egg_excluded=0; other=0; total=17
body_mass_or_weight,include,body size,mean wet mass (waxless and gravid),mg,3,,Explicit body-size label; retain definition/unit anomalies for audit,19,23,body_mass=17; linear=6; egg_excluded=0; other=0; total=23,4,46,body_mass=32; linear=9; egg_excluded=5; other=0; total=46,7,31,body_mass=31; linear=0; egg_excluded=0; other=0; total=31,5,21,body_mass=13; linear=8; egg_excluded=0; other=0; total=21,3,18,body_mass=13; linear=5; egg_excluded=0; other=0; total=18,6,18,body_mass=13; linear=5; egg_excluded=0; other=0; total=18,6,17,body_mass=13; linear=4; egg_excluded=0; other=0; total=17,6,17,body_mass=13; linear=4; egg_excluded=0; other=0; total=17
body_mass_or_weight,include,body size,mean wet mass of an individual tick post engorgement,mg,28,,Explicit body-size label; retain definition/unit anomalies for audit,19,23,body_mass=17; linear=6; egg_excluded=0; other=0; total=23,4,46,body_mass=32; linear=9; egg_excluded=5; other=0; total=46,7,31,body_mass=31; linear=0; egg_excluded=0; other=0; total=31,7,28,body_mass=21; linear=0; egg_excluded=7; other=0; total=28,6,33,body_mass=21; linear=4; egg_excluded=7; other=1; total=33,7,32,body_mass=21; linear=4; egg_excluded=7; other=0; total=32,7,30,body_mass=21; linear=2; egg_excluded=7; other=0; total=30,7,32,body_mass=21; linear=4; egg_excluded=7; other=0; total=32
body_mass_or_weight,include,body size,mean wet mass on the day feeding was completed,mg,24,,Explicit body-size label; retain definition/unit anomalies for audit,19,23,body_mass=17; linear=6; egg_excluded=0; other=0; total=23,4,46,body_mass=32; linear=9; egg_excluded=5; other=0; total=46,7,31,body_mass=31; linear=0; egg_excluded=0; other=0; total=31,7,28,body_mass=21; linear=0; egg_excluded=7; other=0; total=28,6,33,body_mass=21; linear=4; egg_excluded=7; other=1; total=33,7,32,body_mass=21; linear=4; egg_excluded=7; other=0; total=32,7,30,body_mass=21; linear=2; egg_excluded=7; other=0; total=30,7,32,body_mass=21; linear=4; egg_excluded=7; other=0; total=32
body_mass_or_weight,include,body size,mean wet mass on the day feeding was completed (engorged),mg,20,,Explicit body-size label; retain definition/unit anomalies for audit,19,23,body_mass=17; linear=6; egg_excluded=0; other=0; total=23,4,46,body_mass=32; linear=9; egg_excluded=5; other=0; total=46,7,31,body_mass=31; linear=0; egg_excluded=0; other=0; total=31,7,28,body_mass=21; linear=0; egg_excluded=7; other=0; total=28,6,33,body_mass=21; linear=4; egg_excluded=7; other=1; total=33,7,32,body_mass=21; linear=4; egg_excluded=7; other=0; total=32,7,30,body_mass=21; linear=2; egg_excluded=7; other=0; total=30,7,32,body_mass=21; linear=4; egg_excluded=7; other=0; total=32
body_mass_or_weight,include,body size (alate nymph),mean wet mass,days,17,unit inconsistent with mass definition,Explicit body-size label; retain definition/unit anomalies for audit,-1,,noise; body_mass=4; linear=4; egg_excluded=4; all_noise_points=104,4,46,body_mass=32; linear=9; egg_excluded=5; other=0; total=46,-1,,noise; body_mass=2; linear=4; egg_excluded=2; all_noise_points=132,5,21,body_mass=13; linear=8; egg_excluded=0; other=0; total=21,3,18,body_mass=13; linear=5; egg_excluded=0; other=0; total=18,6,18,body_mass=13; linear=5; egg_excluded=0; other=0; total=18,6,17,body_mass=13; linear=4; egg_excluded=0; other=0; total=17,6,17,body_mass=13; linear=4; egg_excluded=0; other=0; total=17
body_mass_or_weight,include,body size (alate),mean wet mass,mg,7,,Explicit body-size label; retain definition/unit anomalies for audit,-1,,noise; body_mass=4; linear=4; egg_excluded=4; all_noise_points=104,4,46,body_mass=32; linear=9; egg_excluded=5; other=0; total=46,7,31,body_mass=31; linear=0; egg_excluded=0; other=0; total=31,5,21,body_mass=13; linear=8; egg_excluded=0; other=0; total=21,3,18,body_mass=13; linear=5; egg_excluded=0; other=0; total=18,6,18,body_mass=13; linear=5; egg_excluded=0; other=0; total=18,6,17,body_mass=13; linear=4; egg_excluded=0; other=0; total=17,6,17,body_mass=13; linear=4; egg_excluded=0; other=0; total=17
body_mass_or_weight,include,body size (apterous nymph),mean wet mass,days,6,unit inconsistent with mass definition,Explicit body-size label; retain definition/unit anomalies for audit,-1,,noise; body_mass=4; linear=4; egg_excluded=4; all_noise_points=104,4,46,body_mass=32; linear=9; egg_excluded=5; other=0; total=46,7,31,body_mass=31; linear=0; egg_excluded=0; other=0; total=31,5,21,body_mass=13; linear=8; egg_excluded=0; other=0; total=21,3,18,body_mass=13; linear=5; egg_excluded=0; other=0; total=18,6,18,body_mass=13; linear=5; egg_excluded=0; other=0; total=18,6,17,body_mass=13; linear=4; egg_excluded=0; other=0; total=17,6,17,body_mass=13; linear=4; egg_excluded=0; other=0; total=17
body_mass_or_weight,include,body size (apterous),mean wet mass,mg,13,,Explicit body-size label; retain definition/unit anomalies for audit,-1,,noise; body_mass=4; linear=4; egg_excluded=4; all_noise_points=104,4,46,body_mass=32; linear=9; egg_excluded=5; other=0; total=46,7,31,body_mass=31; linear=0; egg_excluded=0; other=0; total=31,5,21,body_mass=13; linear=8; egg_excluded=0; other=0; total=21,3,18,body_mass=13; linear=5; egg_excluded=0; other=0; total=18,6,18,body_mass=13; linear=5; egg_excluded=0; other=0; total=18,6,17,body_mass=13; linear=4; egg_excluded=0; other=0; total=17,6,17,body_mass=13; linear=4; egg_excluded=0; other=0; total=17
body_mass_or_weight,include,body size (mass),mean wet mass,mg,6,,Explicit body-size label; retain definition/unit anomalies for audit,20,6,body_mass=6; linear=0; egg_excluded=0; other=0; total=6,4,46,body_mass=32; linear=9; egg_excluded=5; other=0; total=46,7,31,body_mass=31; linear=0; egg_excluded=0; other=0; total=31,5,21,body_mass=13; linear=8; egg_excluded=0; other=0; total=21,3,18,body_mass=13; linear=5; egg_excluded=0; other=0; total=18,6,18,body_mass=13; linear=5; egg_excluded=0; other=0; total=18,6,17,body_mass=13; linear=4; egg_excluded=0; other=0; total=17,6,17,body_mass=13; linear=4; egg_excluded=0; other=0; total=17
body_mass_or_weight,include,weight,Mean weight 14 days after hatching,ug,4,,Definition measures the weight of an individual organism or life stage,11,8,body_mass=7; linear=0; egg_excluded=1; other=0; total=8,-1,,noise; body_mass=3; linear=6; egg_excluded=3; all_noise_points=151,7,31,body_mass=31; linear=0; egg_excluded=0; other=0; total=31,7,28,body_mass=21; linear=0; egg_excluded=7; other=0; total=28,6,33,body_mass=21; linear=4; egg_excluded=7; other=1; total=33,7,32,body_mass=21; linear=4; egg_excluded=7; other=0; total=32,7,30,body_mass=21; linear=2; egg_excluded=7; other=0; total=30,7,32,body_mass=21; linear=4; egg_excluded=7; other=0; total=32
body_mass_or_weight,include,weight,Mean weight on day of engorgement,ug,4,,Definition measures the weight of an individual organism or life stage,11,8,body_mass=7; linear=0; egg_excluded=1; other=0; total=8,4,46,body_mass=32; linear=9; egg_excluded=5; other=0; total=46,7,31,body_mass=31; linear=0; egg_excluded=0; other=0; total=31,7,28,body_mass=21; linear=0; egg_excluded=7; other=0; total=28,6,33,body_mass=21; linear=4; egg_excluded=7; other=1; total=33,7,32,body_mass=21; linear=4; egg_excluded=7; other=0; total=32,7,30,body_mass=21; linear=2; egg_excluded=7; other=0; total=30,7,32,body_mass=21; linear=4; egg_excluded=7; other=0; total=32
body_mass_or_weight,include,weight,Mean weight on day of hatching,ug,4,,Definition measures the weight of an individual organism or life stage,11,8,body_mass=7; linear=0; egg_excluded=1; other=0; total=8,4,46,body_mass=32; linear=9; egg_excluded=5; other=0; total=46,8,6,body_mass=1; linear=0; egg_excluded=5; other=0; total=6,7,28,body_mass=21; linear=0; egg_excluded=7; other=0; total=28,6,33,body_mass=21; linear=4; egg_excluded=7; other=1; total=33,7,32,body_mass=21; linear=4; egg_excluded=7; other=0; total=32,7,30,body_mass=21; linear=2; egg_excluded=7; other=0; total=30,7,32,body_mass=21; linear=4; egg_excluded=7; other=0; total=32
body_mass_or_weight,include,weight,"Weight of developing Hyalomma impeltatum nymphs held at four different temperatures and 75% relative humidity""",mg,12,,Definition measures the weight of an individual organism or life stage,11,8,body_mass=7; linear=0; egg_excluded=1; other=0; total=8,-1,,noise; body_mass=3; linear=6; egg_excluded=3; all_noise_points=151,5,7,body_mass=7; linear=0; egg_excluded=0; other=0; total=7,8,7,body_mass=7; linear=0; egg_excluded=0; other=0; total=7,7,7,body_mass=7; linear=0; egg_excluded=0; other=0; total=7,8,7,body_mass=7; linear=0; egg_excluded=0; other=0; total=7,8,7,body_mass=7; linear=0; egg_excluded=0; other=0; total=7,8,7,body_mass=7; linear=0; egg_excluded=0; other=0; total=7
body_mass_or_weight,include,weight,Weight of undisturbed female Hyalomma impeltatum after engorgement,mg,1,,Definition measures the weight of an individual organism or life stage,11,8,body_mass=7; linear=0; egg_excluded=1; other=0; total=8,5,6,body_mass=6; linear=0; egg_excluded=0; other=0; total=6,5,7,body_mass=7; linear=0; egg_excluded=0; other=0; total=7,8,7,body_mass=7; linear=0; egg_excluded=0; other=0; total=7,7,7,body_mass=7; linear=0; egg_excluded=0; other=0; total=7,8,7,body_mass=7; linear=0; egg_excluded=0; other=0; total=7,8,7,body_mass=7; linear=0; egg_excluded=0; other=0; total=7,8,7,body_mass=7; linear=0; egg_excluded=0; other=0; total=7
body_mass_or_weight,include,weight,Weight of undisturbed female Hyalomma impeltatum after feeding (14 days post-molt),mg,1,,Definition measures the weight of an individual organism or life stage,11,8,body_mass=7; linear=0; egg_excluded=1; other=0; total=8,5,6,body_mass=6; linear=0; egg_excluded=0; other=0; total=6,5,7,body_mass=7; linear=0; egg_excluded=0; other=0; total=7,8,7,body_mass=7; linear=0; egg_excluded=0; other=0; total=7,7,7,body_mass=7; linear=0; egg_excluded=0; other=0; total=7,8,7,body_mass=7; linear=0; egg_excluded=0; other=0; total=7,8,7,body_mass=7; linear=0; egg_excluded=0; other=0; total=7,8,7,body_mass=7; linear=0; egg_excluded=0; other=0; total=7
body_mass_or_weight,include,weight,Weight of undisturbed female Hyalomma impeltatum after molting,mg,1,,Definition measures the weight of an individual organism or life stage,11,8,body_mass=7; linear=0; egg_excluded=1; other=0; total=8,5,6,body_mass=6; linear=0; egg_excluded=0; other=0; total=6,5,7,body_mass=7; linear=0; egg_excluded=0; other=0; total=7,8,7,body_mass=7; linear=0; egg_excluded=0; other=0; total=7,7,7,body_mass=7; linear=0; egg_excluded=0; other=0; total=7,8,7,body_mass=7; linear=0; egg_excluded=0; other=0; total=7,8,7,body_mass=7; linear=0; egg_excluded=0; other=0; total=7,8,7,body_mass=7; linear=0; egg_excluded=0; other=0; total=7
body_mass_or_weight,include,Weight,mean weight of engorged nymphs moulting to males,mg,2,,Definition measures the weight of an individual organism or life stage,12,8,body_mass=7; linear=0; egg_excluded=1; other=0; total=8,4,46,body_mass=32; linear=9; egg_excluded=5; other=0; total=46,7,31,body_mass=31; linear=0; egg_excluded=0; other=0; total=31,7,28,body_mass=21; linear=0; egg_excluded=7; other=0; total=28,6,33,body_mass=21; linear=4; egg_excluded=7; other=1; total=33,7,32,body_mass=21; linear=4; egg_excluded=7; other=0; total=32,7,30,body_mass=21; linear=2; egg_excluded=7; other=0; total=30,7,32,body_mass=21; linear=4; egg_excluded=7; other=0; total=32
body_mass_or_weight,include,Weight,mean weight of larvae during their feeding period,mg,17,,Definition measures the weight of an individual organism or life stage,12,8,body_mass=7; linear=0; egg_excluded=1; other=0; total=8,4,46,body_mass=32; linear=9; egg_excluded=5; other=0; total=46,7,31,body_mass=31; linear=0; egg_excluded=0; other=0; total=31,7,28,body_mass=21; linear=0; egg_excluded=7; other=0; total=28,6,33,body_mass=21; linear=4; egg_excluded=7; other=1; total=33,7,32,body_mass=21; linear=4; egg_excluded=7; other=0; total=32,7,30,body_mass=21; linear=2; egg_excluded=7; other=0; total=30,7,32,body_mass=21; linear=4; egg_excluded=7; other=0; total=32
body_mass_or_weight,include,Weight,mean weight of nymphs during their feeding period,mg,9,,Definition measures the weight of an individual organism or life stage,12,8,body_mass=7; linear=0; egg_excluded=1; other=0; total=8,4,46,body_mass=32; linear=9; egg_excluded=5; other=0; total=46,7,31,body_mass=31; linear=0; egg_excluded=0; other=0; total=31,7,28,body_mass=21; linear=0; egg_excluded=7; other=0; total=28,6,33,body_mass=21; linear=4; egg_excluded=7; other=1; total=33,7,32,body_mass=21; linear=4; egg_excluded=7; other=0; total=32,7,30,body_mass=21; linear=2; egg_excluded=7; other=0; total=30,7,32,body_mass=21; linear=4; egg_excluded=7; other=0; total=32
body_mass_or_weight,include,Weight,Weight of an individual engorged female in grams held at constant temperature,g,33,,Definition measures the weight of an individual organism or life stage,12,8,body_mass=7; linear=0; egg_excluded=1; other=0; total=8,4,46,body_mass=32; linear=9; egg_excluded=5; other=0; total=46,-1,,noise; body_mass=2; linear=4; egg_excluded=2; all_noise_points=132,7,28,body_mass=21; linear=0; egg_excluded=7; other=0; total=28,6,33,body_mass=21; linear=4; egg_excluded=7; other=1; total=33,7,32,body_mass=21; linear=4; egg_excluded=7; other=0; total=32,7,30,body_mass=21; linear=2; egg_excluded=7; other=0; total=30,7,32,body_mass=21; linear=4; egg_excluded=7; other=0; total=32
body_mass_or_weight,include,Weight,Weight of undisturbed female Hyalomma impeltatum after engorgement,mg,3,,Definition measures the weight of an individual organism or life stage,12,8,body_mass=7; linear=0; egg_excluded=1; other=0; total=8,5,6,body_mass=6; linear=0; egg_excluded=0; other=0; total=6,5,7,body_mass=7; linear=0; egg_excluded=0; other=0; total=7,8,7,body_mass=7; linear=0; egg_excluded=0; other=0; total=7,7,7,body_mass=7; linear=0; egg_excluded=0; other=0; total=7,8,7,body_mass=7; linear=0; egg_excluded=0; other=0; total=7,8,7,body_mass=7; linear=0; egg_excluded=0; other=0; total=7,8,7,body_mass=7; linear=0; egg_excluded=0; other=0; total=7
body_mass_or_weight,include,Weight,Weight of undisturbed female Hyalomma impeltatum after feeding (14 days post-molt),mg,3,,Definition measures the weight of an individual organism or life stage,12,8,body_mass=7; linear=0; egg_excluded=1; other=0; total=8,5,6,body_mass=6; linear=0; egg_excluded=0; other=0; total=6,5,7,body_mass=7; linear=0; egg_excluded=0; other=0; total=7,8,7,body_mass=7; linear=0; egg_excluded=0; other=0; total=7,7,7,body_mass=7; linear=0; egg_excluded=0; other=0; total=7,8,7,body_mass=7; linear=0; egg_excluded=0; other=0; total=7,8,7,body_mass=7; linear=0; egg_excluded=0; other=0; total=7,8,7,body_mass=7; linear=0; egg_excluded=0; other=0; total=7
