OriginalTraitName,OriginalTraitDef,OriginalTraitUnit,text,cluster_id,n_members,best_match_id,best_match_label,confidence,reasoning,is_mapped
EIP (extrinsic incubation period),day sporozoites first detected in salivary glands,days,Trait: EIP (extrinsic incubation period). Definition: day sporozoites first detected in salivary glands. Unit: days.,-1,130,PATO:0001309,duration,medium,"The trait 'extrinsic incubation period' refers to the duration of time until sporozoites are detected, which aligns with the concept of 'duration' as a process quality.",TRUE
EIP (extrinsic incubation period),day sporozoites first detected in salivary glands,days,Trait: EIP (extrinsic incubation period). Definition: day sporozoites first detected in salivary glands. Unit: days.,-1,130,PATO:0001309,duration,medium,"The trait 'extrinsic incubation period' refers to the duration of time for a process, which aligns with the concept of 'duration' as a process quality.",TRUE
oocyst prevalence,not stated,percent,Trait: oocyst prevalence. Definition: not stated. Unit: percent.,-1,130,NO_MATCH,NO_MATCH,high,"The candidate ontology term 'Headache' is unrelated to 'oocyst prevalence', which pertains to the percentage of hosts infected with oocysts, a concept not covered by the provided term.",FALSE
oocyst prevalence,not stated,percent,Trait: oocyst prevalence. Definition: not stated. Unit: percent.,-1,130,NO_MATCH,NO_MATCH,high,"The candidate ontology term 'Headache' is unrelated to 'oocyst prevalence', which pertains to the percentage of hosts infected with oocysts, a concept not covered by the provided term.",FALSE
oocyst intensity,not stated,not stated,Trait: oocyst intensity. Definition: not stated. Unit: not stated.,-1,130,PATO:0000049,intensity,medium,"The term 'intensity' is a general match for 'oocyst intensity' as it refers to a quality of degree or effect, but lacks specificity to oocysts.",TRUE
oocyst intensity,not stated,not stated,Trait: oocyst intensity. Definition: not stated. Unit: not stated.,-1,130,PATO:0000049,intensity,medium,"The term 'intensity' is a general concept that can encompass 'oocyst intensity', but without a specific definition, the match is not highly confident.",TRUE
sporozoite prevalence,not stated,percent,Trait: sporozoite prevalence. Definition: not stated. Unit: percent.,-1,130,NO_MATCH,NO_MATCH,high,"The candidate ontology term 'Headache' is unrelated to 'sporozoite prevalence', which pertains to the percentage of sporozoites, a stage in the life cycle of certain parasites.",FALSE
sporozoite prevalence,not stated,percent,Trait: sporozoite prevalence. Definition: not stated. Unit: percent.,-1,130,NO_MATCH,NO_MATCH,high,"The candidate ontology term 'Headache' is unrelated to 'sporozoite prevalence', which pertains to the percentage of sporozoites in a population, not a symptom or condition like headache.",FALSE
copulation duration,mean copulation duration,hours individual-1 lifetime-1,Trait: copulation duration. Definition: mean copulation duration. Unit: hours individual-1 lifetime-1.,-1,130,PATO:0001309,duration,medium,"The VecTraits entry describes a temporal extent of copulation, which aligns with the general concept of 'duration' as a process quality.",TRUE
copulation duration,mean copulation duration,hours individual-1 lifetime-1,Trait: copulation duration. Definition: mean copulation duration. Unit: hours individual-1 lifetime-1.,-1,130,PATO:0001309,duration,medium,"The VecTraits entry describes a temporal extent of copulation, which aligns with the general concept of 'duration' as a process quality.",TRUE
prey consumption,mean number of prey consumed,number of individual prey individual-1,Trait: prey consumption. Definition: mean number of prey consumed. Unit: number of individual prey individual-1.,-1,130,OBA:1000690,food consumption quality,medium,"Prey consumption can be considered a type of food consumption, but the term does not specifically address prey, leading to medium confidence.",TRUE
prey consumption,mean number of prey consumed,number of individual prey individual-1,Trait: prey consumption. Definition: mean number of prey consumed. Unit: number of individual prey individual-1.,-1,130,OBA:1000690,food consumption quality,medium,"Prey consumption can be considered a type of food consumption, but the term does not specifically address prey, hence medium confidence.",TRUE
parasite maturation time,mean duration time from infective feed to mature infection,days,Trait: parasite maturation time. Definition: mean duration time from infective feed to mature infection. Unit: days.,-1,130,PATO:0001309,duration,medium,"The VecTraits entry describes a temporal extent from start to end of a process, which aligns with the concept of 'duration'.",TRUE
parasite maturation time,mean duration time from infective feed to mature infection,days,Trait: parasite maturation time. Definition: mean duration time from infective feed to mature infection. Unit: days.,-1,130,PATO:0001309,duration,medium,"The VecTraits entry describes a temporal extent from start to end of a process, which aligns with the concept of 'duration'.",TRUE
interlarval period,mean frequency of larval production,days,Trait: interlarval period. Definition: mean frequency of larval production. Unit: days.,-1,130,PATO:0001309,duration,medium,"The trait 'interlarval period' refers to the time between larval productions, which aligns with the concept of 'duration' as a temporal extent.",TRUE
interlarval period,mean frequency of larval production,days,Trait: interlarval period. Definition: mean frequency of larval production. Unit: days.,-1,130,PATO:0001309,duration,medium,"The trait 'interlarval period' refers to the temporal extent between larval productions, which aligns with the concept of 'duration' as a process quality.",TRUE
survival,probability of survival after exposure to extreme temperatures,probability,Trait: survival. Definition: probability of survival after exposure to extreme temperatures. Unit: probability.,-1,130,PATO:0000719,viable,medium,"The term 'viable' relates to the ability to survive, which aligns with the VecTraits entry's focus on survival probability after exposure to extreme temperatures.",TRUE
survival,probability of survival after exposure to extreme temperatures,probability,Trait: survival. Definition: probability of survival after exposure to extreme temperatures. Unit: probability.,-1,130,PATO:0000719,viable,medium,"The term 'viable' relates to the ability to survive, which aligns with the VecTraits entry's focus on survival probability after exposure to extreme temperatures.",TRUE
fat consumption rate,mean daily rate of fat consumption,mg day-1,Trait: fat consumption rate. Definition: mean daily rate of fat consumption. Unit: mg day-1.,-1,130,PATO:0000161,rate,medium,"The trait 'fat consumption rate' refers to a rate of consumption, which aligns with the general concept of 'rate' as a process occurring per unit time.",TRUE
fat consumption rate,mean daily rate of fat consumption,mg day-1,Trait: fat consumption rate. Definition: mean daily rate of fat consumption. Unit: mg day-1.,-1,130,PATO:0000161,rate,medium,"The trait 'fat consumption rate' refers to a rate of consumption per unit time, which aligns with the general concept of 'rate' in PATO:0000161.",TRUE
blood feeding,mean lifetime blood feeds,blood meals individual-1,Trait: blood feeding. Definition: mean lifetime blood feeds. Unit: blood meals individual-1.,-1,130,OBA:1000748,feeding behavior quality,high,"The trait 'blood feeding' refers to a behavior related to feeding, which aligns with the concept of 'feeding behavior quality'.",TRUE
blood feeding,mean lifetime blood feeds,blood meals individual-1,Trait: blood feeding. Definition: mean lifetime blood feeds. Unit: blood meals individual-1.,-1,130,OBA:1000748,feeding behavior quality,high,"The trait 'blood feeding' refers to a behavior related to feeding, which aligns with the concept of 'feeding behavior quality'.",TRUE
relative activity,amount of activity as a percentage of maximum recorded activity,percent,Trait: relative activity. Definition: amount of activity as a percentage of maximum recorded activity. Unit: percent.,-1,130,PATO:0001414,catalytic activity,medium,"The VecTraits entry describes a percentage of maximum activity, which aligns with the concept of catalytic activity as a measure of action, though not explicitly relative.",TRUE
relative activity,amount of activity as a percentage of maximum recorded activity,percent,Trait: relative activity. Definition: amount of activity as a percentage of maximum recorded activity. Unit: percent.,-1,130,PATO:0001414,catalytic activity,medium,"The VecTraits entry describes a percentage of maximum activity, which aligns with the concept of catalytic activity as a measure of action, though not explicitly relative.",TRUE
viral load,individual-level viral load,PFU (plaque-forming units),Trait: viral load. Definition: individual-level viral load. Unit: PFU (plaque-forming units).,-1,130,NO_MATCH,NO_MATCH,high,None of the candidate ontology terms specifically refer to individual-level viral load measured in plaque-forming units.,FALSE
viral load,individual-level viral load,PFU (plaque-forming units),Trait: viral load. Definition: individual-level viral load. Unit: PFU (plaque-forming units).,-1,130,NO_MATCH,NO_MATCH,high,None of the candidate ontology terms specifically refer to individual-level viral load measured in plaque-forming units.,FALSE
starvation tolerance,individual-level starvation tolerance as a function of temperature and body size (interactor1size),days,Trait: starvation tolerance. Definition: individual-level starvation tolerance as a function of temperature and body size (interactor1size). Unit: days.,-1,130,PATO:0002393,increased tolerance to,medium,"The VecTraits entry describes starvation tolerance as a function of temperature and body size, which aligns with the concept of increased ability to endure a stimulus.",TRUE
starvation tolerance,individual-level starvation tolerance as a function of temperature and body size (interactor1size),days,Trait: starvation tolerance. Definition: individual-level starvation tolerance as a function of temperature and body size (interactor1size). Unit: days.,-1,130,PATO:0002393,increased tolerance to,medium,"The VecTraits entry describes starvation tolerance, which aligns with the concept of increased ability to endure a stimulus, but the specific context of starvation is not explicitly covered by the ontology term.",TRUE
recovery time,individual-level duration to recover movement after exposure to extreme temperature,seconds,Trait: recovery time. Definition: individual-level duration to recover movement after exposure to extreme temperature. Unit: seconds.,-1,130,PATO:0001309,duration,high,The trait 'recovery time' is best described by the term 'duration' as it refers to the temporal extent between the starting and ending point of recovery after exposure to extreme temperature.,TRUE
recovery time,individual-level duration to recover movement after exposure to extreme temperature,seconds,Trait: recovery time. Definition: individual-level duration to recover movement after exposure to extreme temperature. Unit: seconds.,-1,130,PATO:0001309,duration,high,The trait 'recovery time' is best described by the term 'duration' as it refers to the temporal extent between the starting and ending point of recovery after exposure to extreme temperature.,TRUE
survival,individual-level binomial survival,1 = survived life stage,Trait: survival. Definition: individual-level binomial survival. Unit: 1 = survived life stage.,-1,130,PATO:0000719,viable,medium,"The VecTraits entry describes survival as a binary trait, which aligns with the concept of viability in terms of the ability to survive.",TRUE
survival,individual-level binomial survival,1 = survived life stage,Trait: survival. Definition: individual-level binomial survival. Unit: 1 = survived life stage.,-1,130,PATO:0000719,viable,medium,"The VecTraits entry describes individual-level survival, which aligns with the concept of viability as the ability to survive.",TRUE
juvenile life span,individual-level duration from hatching to death or adult eclosion,days,Trait: juvenile life span. Definition: individual-level duration from hatching to death or adult eclosion. Unit: days.,-1,130,NO_MATCH,NO_MATCH,high,"None of the candidate terms specifically refer to the duration from hatching to death or adult eclosion, which is a distinct phase of life span.",FALSE
juvenile life span,individual-level duration from hatching to death or adult eclosion,days,Trait: juvenile life span. Definition: individual-level duration from hatching to death or adult eclosion. Unit: days.,-1,130,NO_MATCH,NO_MATCH,high,"None of the candidate terms specifically address the duration from hatching to death or adult eclosion, which is specific to the juvenile life span.",FALSE
bloodmeal weight,individual-level weight of bloodmeal,mg,Trait: bloodmeal weight. Definition: individual-level weight of bloodmeal. Unit: mg.,-1,130,PATO:0000125,mass,medium,"The trait 'bloodmeal weight' refers to the mass of the bloodmeal, which aligns with the concept of 'mass' in PATO.",TRUE
bloodmeal weight,individual-level weight of bloodmeal,mg,Trait: bloodmeal weight. Definition: individual-level weight of bloodmeal. Unit: mg.,-1,130,PATO:0000125,mass,high,"The trait 'bloodmeal weight' refers to the mass of the bloodmeal, which aligns with the PATO term for 'mass'.",TRUE
knockdown time,mean time for 50% knockdown of femelaes under exposure to deltamethrin concentration (see notes),minutes,Trait: knockdown time. Definition: mean time for 50% knockdown of femelaes under exposure to deltamethrin concentration (see notes). Unit: minutes.,-1,130,PATO:0001309,duration,medium,"The trait 'knockdown time' refers to the temporal extent of a process, which aligns with the definition of 'duration' as a process quality related to time.",TRUE
knockdown time,mean time for 50% knockdown of femelaes under exposure to deltamethrin concentration (see notes),minutes,Trait: knockdown time. Definition: mean time for 50% knockdown of femelaes under exposure to deltamethrin concentration (see notes). Unit: minutes.,-1,130,PATO:0001309,duration,high,"The trait 'knockdown time' refers to the temporal extent of a process, which aligns with the definition of 'duration' as a process quality.",TRUE
feeding time,mean duration of adult female feeding developmental phase,days,Trait: feeding time. Definition: mean duration of adult female feeding developmental phase. Unit: days.,-1,130,PATO:0001309,duration,high,"The VecTraits entry describes the mean duration of a feeding phase, which aligns with the concept of 'duration' as a process quality.",TRUE
feeding time,mean duration of adult female feeding developmental phase,days,Trait: feeding time. Definition: mean duration of adult female feeding developmental phase. Unit: days.,-1,130,PATO:0001309,duration,high,"The VecTraits entry describes the mean duration of a developmental phase, which aligns with the concept of 'duration' as a process quality.",TRUE
egg size,mean weight of egg mass produced by adult female ticks,mg,Trait: egg size. Definition: mean weight of egg mass produced by adult female ticks. Unit: mg.,-1,130,PATO:0000117,size,medium,"The VecTraits entry describes the mean weight of egg mass, which relates to the physical magnitude or size of the eggs, but none of the terms specifically address egg weight, making this a partial match.",TRUE
egg size,mean weight of egg mass produced by adult female ticks,mg,Trait: egg size. Definition: mean weight of egg mass produced by adult female ticks. Unit: mg.,-1,130,PATO:0000117,size,medium,"The trait 'egg size' refers to the physical magnitude of the egg, which aligns with the general concept of 'size' in PATO ontology.",TRUE
sex ratio,ratio of male ticks to female ticks,ratio,Trait: sex ratio. Definition: ratio of male ticks to female ticks. Unit: ratio.,-1,130,PATO:0001338,mixed sex,medium,"The term 'mixed sex' encompasses a mixture of males and females, which aligns with the concept of a sex ratio.",TRUE
sex ratio,ratio of male ticks to female ticks,ratio,Trait: sex ratio. Definition: ratio of male ticks to female ticks. Unit: ratio.,-1,130,PATO:0001338,mixed sex,medium,"The term 'mixed sex' encompasses a mixture of males and females, which aligns with the concept of a sex ratio.",TRUE
feeding time,mean duration of feeding developmental phase,days,Trait: feeding time. Definition: mean duration of feeding developmental phase. Unit: days.,-1,130,PATO:0001309,duration,high,"The VecTraits entry describes the mean duration of a feeding phase, which aligns with the concept of 'duration' as a process quality related to temporal extent.",TRUE
feeding time,mean duration of feeding developmental phase,days,Trait: feeding time. Definition: mean duration of feeding developmental phase. Unit: days.,-1,130,PATO:0001309,duration,high,"The VecTraits entry describes the mean duration of a feeding phase, which aligns with the concept of 'duration' as a process quality related to temporal extent.",TRUE
