query_trait,ontology,term_id,term_label,term_definition
ovipositional period,PATO,PATO:0000695,synchronous,A quality of a single process inhering in a bearer by virtue of the bearer's occurring or existing at the same time or having the same period or phase.
ovipositional period,PATO,PATO:0000688,asynchronous,A quality of a single process inhering in a bearer by virtue of the bearer's not occurring or existing at the same time or having the same period or phase.
gonotrophic cycle,PATO,GO:0007049,cell cycle,"The progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events. Canonically, the cell cycle comprises the replication and segregation of genetic material followed by the division of the cell, but in endocycles or syncytial cells nuclear replication or nuclear division may not be followed by cell division."
gonotrophic cycle,PATO,UBERON:0000104,life cycle,"An entire span of an organism's life. In metazoans, commences with the zygote stage and ends with the death of the organism."
gonotrophic cycle,PATO,GO:0000278,mitotic cell cycle,"Note that this term should not be confused with 'GO:0140014 ; mitotic nuclear division'. 'GO:0000278 ; mitotic cell cycle represents the entire mitotic cell cycle, while 'GO:0140014 ; mitotic nuclear division' specifically represents the actual nuclear division step of the mitotic cell cycle."
gonotrophic cycle,PATO,GO:0007113,endomitotic cell cycle,"Note that this term should not be confused with 'abortive mitotic cell cycle ; GO:0033277'. Although abortive mitosis is sometimes called endomitosis, GO:0033277 refers to a process in which a mitotic spindle forms and chromosome separation begins."
gonotrophic cycle,PATO,GO:0022402,cell cycle process,The cellular process that ensures successive accurate and complete genome replication and chromosome segregation.
starvation tolerance,PATO,PATO:0002393,increased tolerance to,A tolerance quality inhering in a bearer by virtue of the bearer's increased ability to endure a stimulus.
starvation tolerance,PATO,PATO:0002394,decreased tolerance to,A tolerance quality inhering in a bearer by virtue of the bearer's decreased ability to endure a stimulus.
starvation tolerance,PATO,PATO:0045070,normal tolerance to,A tolerance to an external stimulus which is relatively normal or average
preoviposition period,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
preoviposition period,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
preoviposition period,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
preoviposition period,PATO,PATO:0000695,synchronous,A quality of a single process inhering in a bearer by virtue of the bearer's occurring or existing at the same time or having the same period or phase.
preoviposition period,PATO,PATO:0000688,asynchronous,A quality of a single process inhering in a bearer by virtue of the bearer's not occurring or existing at the same time or having the same period or phase.
egg mass,PATO,PATO:0000125,mass,"For any biological use of PATO, the concept that should be used is 'mass' and not 'weight'. For example, increased weight of an organism."
egg mass,PATO,PATO:0001019,mass density,A physical quality which inheres in a bearer by virtue of some influence is exerted by the bearer's mass per unit size.
egg mass,PATO,PATO:0001562,decreased mass,A mass which is lower than normal or average.
egg mass,PATO,PATO:0001563,increased mass,A mass which is higher than normal or average.
egg mass,PATO,PATO:0001681,molar mass,A physical quality that inheres in a homogeneous substance containing 6.02 x 1023 atoms or molecules.
gonotrophic cycle 1,PATO,GO:0007049,cell cycle,"The progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events. Canonically, the cell cycle comprises the replication and segregation of genetic material followed by the division of the cell, but in endocycles or syncytial cells nuclear replication or nuclear division may not be followed by cell division."
gonotrophic cycle 1,PATO,UBERON:0000104,life cycle,"An entire span of an organism's life. In metazoans, commences with the zygote stage and ends with the death of the organism."
gonotrophic cycle 1,PATO,GO:0000278,mitotic cell cycle,"Note that this term should not be confused with 'GO:0140014 ; mitotic nuclear division'. 'GO:0000278 ; mitotic cell cycle represents the entire mitotic cell cycle, while 'GO:0140014 ; mitotic nuclear division' specifically represents the actual nuclear division step of the mitotic cell cycle."
gonotrophic cycle 1,PATO,GO:0007113,endomitotic cell cycle,"Note that this term should not be confused with 'abortive mitotic cell cycle ; GO:0033277'. Although abortive mitosis is sometimes called endomitosis, GO:0033277 refers to a process in which a mitotic spindle forms and chromosome separation begins."
gonotrophic cycle 1,PATO,GO:0022402,cell cycle process,The cellular process that ensures successive accurate and complete genome replication and chromosome segregation.
survival time,PATO,PATO:0000165,time,A quality in which events occur in sequence.
survival time,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
survival time,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
survival time,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
survival time,PATO,PATO:0000718,lethal (sensu genetics),A viability quality inhering in a population by virtue of the bearer's long term survival inability.
post-reproductive period,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
post-reproductive period,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
post-reproductive period,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
post-reproductive period,PATO,PATO:0000695,synchronous,A quality of a single process inhering in a bearer by virtue of the bearer's occurring or existing at the same time or having the same period or phase.
post-reproductive period,PATO,PATO:0000688,asynchronous,A quality of a single process inhering in a bearer by virtue of the bearer's not occurring or existing at the same time or having the same period or phase.
molting period,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
molting period,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
molting period,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
molting period,PATO,PATO:0000695,synchronous,A quality of a single process inhering in a bearer by virtue of the bearer's occurring or existing at the same time or having the same period or phase.
molting period,PATO,PATO:0000688,asynchronous,A quality of a single process inhering in a bearer by virtue of the bearer's not occurring or existing at the same time or having the same period or phase.
pre-oviposition period,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
pre-oviposition period,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
pre-oviposition period,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
pre-oviposition period,PATO,PATO:0000695,synchronous,A quality of a single process inhering in a bearer by virtue of the bearer's occurring or existing at the same time or having the same period or phase.
pre-oviposition period,PATO,PATO:0000688,asynchronous,A quality of a single process inhering in a bearer by virtue of the bearer's not occurring or existing at the same time or having the same period or phase.
resource consumption rate,PATO,PATO:0000161,rate,A quality of a single process inhering in a bearer by virtue of the bearer's occurrence per unit time.
resource consumption rate,PATO,PATO:0000911,decreased rate,A rate which is relatively low.
resource consumption rate,PATO,PATO:0000912,increased rate,A rate which is relatively high.
resource consumption rate,PATO,PATO:0001492,growth rate,The rate or speed of the change in size of an individual entity or change in number of a population.
resource consumption rate,PATO,PATO:0001574,flow rate,A physical quality inhering in a bearer by virtue of the bearer's motion characteristic.
age specific fecundity,PATO,PATO:0000273,fecundity,A reproductive quality inhering in an organism or population by virtue of the bearer's potential reproductive capacity ad measured by the number of gametes.
age specific fecundity,PATO,PATO:0001695,increased fecundity,A fecundity which is relatively high.
age specific fecundity,PATO,PATO:0001696,decreased fecundity,A fecundity which is relatively low.
age specific fecundity,PATO,PATO:0045017,normal fecundity,A fecundity which is relatively normal or average.
age specific fecundity,PATO,PATO:0000011,age,A time quality inhering in a bearer by virtue of how long the bearer has existed.
life cycle,PATO,UBERON:0000104,life cycle,"An entire span of an organism's life. In metazoans, commences with the zygote stage and ends with the death of the organism."
life cycle,PATO,UBERON:0000105,life cycle stage,A spatiotemporal region encompassing some part of the life cycle of an organism.
life cycle,PATO,PATO:0000050,life span,A time quality inhering in a bearer by virtue of the bearer's expected maximum age.
life cycle,PATO,PATO:0001603,increased life span,A life span which is relatively high.
life cycle,PATO,PATO:0001604,decreased life span,A life span which is relatively low.
premolt period (nymphal),PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
premolt period (nymphal),PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
premolt period (nymphal),PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
premolt period (nymphal),PATO,PATO:0000695,synchronous,A quality of a single process inhering in a bearer by virtue of the bearer's occurring or existing at the same time or having the same period or phase.
premolt period (nymphal),PATO,PATO:0000688,asynchronous,A quality of a single process inhering in a bearer by virtue of the bearer's not occurring or existing at the same time or having the same period or phase.
Weight,PATO,PATO:0000128,weight,"For any biological use of PATO, the concept that should be used is 'mass' and not 'weight'. For example, increased weight of an organism."
Weight,PATO,PATO:0000582,increased weight,A weight which is relatively high.
Weight,PATO,PATO:0000583,decreased weight,A weight which is relatively low.
Weight,PATO,PATO:0000125,mass,"For any biological use of PATO, the concept that should be used is 'mass' and not 'weight'. For example, increased weight of an organism."
Weight,PATO,PATO:0001470,ratio,A quality inhering in a bearer by virtue of the bearer's magnitude in proportion to the magnitude of another entity.
incubation period,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
incubation period,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
incubation period,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
incubation period,PATO,PATO:0000695,synchronous,A quality of a single process inhering in a bearer by virtue of the bearer's occurring or existing at the same time or having the same period or phase.
incubation period,PATO,PATO:0000688,asynchronous,A quality of a single process inhering in a bearer by virtue of the bearer's not occurring or existing at the same time or having the same period or phase.
age at first reproduction,PATO,PATO:0000011,age,A time quality inhering in a bearer by virtue of how long the bearer has existed.
age at first reproduction,PATO,PATO:0001486,chronological age,An age quality that exists by virtue of the time (years and months) that the bearer has existed.
age at first reproduction,PATO,PATO:0001764,increased age,An age which is high relative to the normal or average.
age at first reproduction,PATO,PATO:0001765,decreased age,An age which is low relative to the normal or average.
age at first reproduction,PATO,PATO:0045005,normal age,An age which is relatively normal or average.
percent survival,PATO,PATO:0000718,lethal (sensu genetics),A viability quality inhering in a population by virtue of the bearer's long term survival inability.
percent survival,PATO,PATO:0000719,viable,A viability quality inhering in a bearer or a population by virtue of the bearer's ability to survive or the long term survival ability of a given population.
percent survival,PATO,GO:0043066,negative regulation of apoptotic process,"This term should only be used when it is not possible to determine which phase or subtype of the apoptotic process is negatively regulated by a gene product. Whenever detailed information is available, the more granular children terms should be used."
percent survival,PATO,GO:0043524,negative regulation of neuron apoptotic process,"Any process that stops, prevents, or reduces the frequency, rate or extent of cell death by apoptotic process in neurons."
percent survival,PATO,CHEBI:38323,cholinergic drug,"Any drug used for its actions on cholinergic systems. Included here are agonists and antagonists, drugs that affect the life cycle of acetylcholine, and drugs that affect the survival of cholinergic neurons."
temperature thresholds for oviposition,PATO,PATO:0000146,temperature,A physical quality of the thermal energy of a system.
temperature thresholds for oviposition,PATO,PATO:0001305,increased temperature,A temperature which is relatively high.
temperature thresholds for oviposition,PATO,PATO:0001306,decreased temperature,A temperature which is relatively low.
temperature thresholds for oviposition,PATO,PATO:0001313,invariant temperature,A variability quality inhering in a bearer by virtue of the bearer's lacking or not exhibiting variation of temperature.
temperature thresholds for oviposition,PATO,PATO:0001314,variant temperature,A variability quality inhering in a bearer by virtue of the bearer's having or exhibiting variation of temperature.
growth rate,PATO,PATO:0001492,growth rate,The rate or speed of the change in size of an individual entity or change in number of a population.
growth rate,PATO,PATO:0040045,population growth rate,The rate or speed of the change in in number of a population.
growth rate,PATO,PATO:0040046,single organismal growth rate,The rate or speed of the change in size of an individual entity.
growth rate,PATO,PATO:0000161,rate,A quality of a single process inhering in a bearer by virtue of the bearer's occurrence per unit time.
growth rate,PATO,PATO:0000911,decreased rate,A rate which is relatively low.
metabolic rate,PATO,PATO:0000161,rate,A quality of a single process inhering in a bearer by virtue of the bearer's occurrence per unit time.
metabolic rate,PATO,PATO:0000911,decreased rate,A rate which is relatively low.
metabolic rate,PATO,PATO:0000912,increased rate,A rate which is relatively high.
metabolic rate,PATO,PATO:0001492,growth rate,The rate or speed of the change in size of an individual entity or change in number of a population.
metabolic rate,PATO,PATO:0001574,flow rate,A physical quality inhering in a bearer by virtue of the bearer's motion characteristic.
premolt period (larval),PATO,PATO:0001185,larval,"A maturity quality inhering in a bearer by virtue of the bearer's indirect development, undergoing metamorphosis."
premolt period (larval),PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
premolt period (larval),PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
premolt period (larval),PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
premolt period (larval),PATO,PATO:0001187,pupal,A maturity quality inhering in a insect by virtue of the bearer's being in the chrysalis (cocoon) or post larval stage.
hatch rate,PATO,PATO:0000161,rate,A quality of a single process inhering in a bearer by virtue of the bearer's occurrence per unit time.
hatch rate,PATO,PATO:0000911,decreased rate,A rate which is relatively low.
hatch rate,PATO,PATO:0000912,increased rate,A rate which is relatively high.
hatch rate,PATO,PATO:0001492,growth rate,The rate or speed of the change in size of an individual entity or change in number of a population.
hatch rate,PATO,PATO:0001574,flow rate,A physical quality inhering in a bearer by virtue of the bearer's motion characteristic.
oocyst intensity,PATO,PATO:0000049,intensity,A quality inhering in a bearer by virtue of the bearer's possessing or displaying a distinctive feature in type or degree or effect or force.
oocyst intensity,PATO,PATO:0000394,mild intensity,An intensity which is less than moderate in type or degree or effect or force.
oocyst intensity,PATO,PATO:0000395,moderate intensity,An intensity which is less than extreme in type or degree or effect or force.
oocyst intensity,PATO,PATO:0000396,severe intensity,An intensity which is extremely bad or unpleasant in type or degree or effect or force.
oocyst intensity,PATO,PATO:0001782,increased intensity,An intensity which is relatively high.
age-specific daily fecundity,PATO,PATO:0000273,fecundity,A reproductive quality inhering in an organism or population by virtue of the bearer's potential reproductive capacity ad measured by the number of gametes.
age-specific daily fecundity,PATO,PATO:0001695,increased fecundity,A fecundity which is relatively high.
age-specific daily fecundity,PATO,PATO:0001696,decreased fecundity,A fecundity which is relatively low.
age-specific daily fecundity,PATO,PATO:0045017,normal fecundity,A fecundity which is relatively normal or average.
age-specific daily fecundity,PATO,PCO:0000003,quality of a population,A quality that inheres in a population of organisms.
development duration,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
development duration,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
development duration,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
development duration,PATO,PATO:0001416,regular duration,A duration which has regular start and/or end times.
development duration,PATO,PATO:0001417,irregular duration,A duration quality of a process inhering in a bearer by virtue of the bearer's duration which has irregular start and/or end times.
developmental time,PATO,PATO:0000165,time,A quality in which events occur in sequence.
developmental time,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
developmental time,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
developmental time,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
developmental time,PATO,GO:0021700,developmental maturation,"A developmental process, independent of morphogenetic (shape) change, that is required for an anatomical structure, cell or cellular component to attain its fully functional state."
gonotrophic cycle 2,PATO,GO:0007049,cell cycle,"The progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events. Canonically, the cell cycle comprises the replication and segregation of genetic material followed by the division of the cell, but in endocycles or syncytial cells nuclear replication or nuclear division may not be followed by cell division."
gonotrophic cycle 2,PATO,UBERON:0000104,life cycle,"An entire span of an organism's life. In metazoans, commences with the zygote stage and ends with the death of the organism."
gonotrophic cycle 2,PATO,GO:0000278,mitotic cell cycle,"Note that this term should not be confused with 'GO:0140014 ; mitotic nuclear division'. 'GO:0000278 ; mitotic cell cycle represents the entire mitotic cell cycle, while 'GO:0140014 ; mitotic nuclear division' specifically represents the actual nuclear division step of the mitotic cell cycle."
gonotrophic cycle 2,PATO,GO:0007113,endomitotic cell cycle,"Note that this term should not be confused with 'abortive mitotic cell cycle ; GO:0033277'. Although abortive mitosis is sometimes called endomitosis, GO:0033277 refers to a process in which a mitotic spindle forms and chromosome separation begins."
gonotrophic cycle 2,PATO,GO:0022402,cell cycle process,The cellular process that ensures successive accurate and complete genome replication and chromosome segregation.
average daily fecundity,PATO,PATO:0000273,fecundity,A reproductive quality inhering in an organism or population by virtue of the bearer's potential reproductive capacity ad measured by the number of gametes.
average daily fecundity,PATO,PATO:0001695,increased fecundity,A fecundity which is relatively high.
average daily fecundity,PATO,PATO:0001696,decreased fecundity,A fecundity which is relatively low.
average daily fecundity,PATO,PATO:0045017,normal fecundity,A fecundity which is relatively normal or average.
average daily fecundity,PATO,PATO:0000461,normal,A quality inhering in a bearer by virtue of the bearer's exhibiting no deviation from normal or average.
Development time,PATO,PATO:0000165,time,A quality in which events occur in sequence.
Development time,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
Development time,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
Development time,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
Development time,PATO,PATO:0040049,male with DSD,A biological sex quality inhering in an individual or a population who are otherwise male of a non-hermaphroditic species who has ambiguous or atypical congenital development of the reproductive system.
Water loss,PATO,PATO:0001800,water composition,A composition quality inhering in an bearer by virtue of the quantities or relative ratios of water of the inhering entity.
Water loss,PATO,PATO:0001801,decreased water composition,A composition quality inhering in an bearer by virtue of the reduction in amount of water the bearer contains.
Water loss,PATO,PATO:0001999,lacks parts or has fewer parts of type,"The bearer of this quality has_part < n of the indicated entity type, where n is the normal amount for a comparable organism. Note that the bearer of the quality is the whole, not the part. Formally: If a bearer entity e has fewer parts of type X at time t, then the number of instances x of X at t such that x part_of e is < n, where n is either the normal number for comparable entities, or n is stated explicitly. This case includes the limit case, where the bearer lacks all parts of the specified type."
Water loss,PATO,PATO:0002461,wilty,To bend or hang downwards due to loss of water
Water loss,PATO,PATO:0001885,hydrophobic,A quality inhering in a bearer by virtue of the bearer's lacking affinity for water; tending to repel and not absorb water; tending not to dissolve in or mix with or be wetted by water.
viral load,PATO,GO:0030141,secretory granule,"Note that the term 'secretory vesicle' is sometimes used in this sense, but can also mean 'transport vesicle ; GO:0030133'."
viral load,PATO,GO:0032774,RNA biosynthetic process,"Note that, in some cases, viral RNA replication and viral transcription from RNA actually refer to the same process, but may be called differently depending on the focus of a specific research study."
viral load,PATO,GO:0005575,cellular_component,"Note that, in addition to forming the root of the cellular component ontology, this term is recommended for the annotation of gene products whose cellular component is unknown. When this term is used for annotation, it indicates that no information was available about the cellular component of the gene product annotated as of the date the annotation was made; the evidence code 'no data' (ND), is used to indicate this."
viral load,PATO,GO:1903018,regulation of glycoprotein metabolic process,"human serum amyloid P component (SAP) P02743 inhibits viral neuraminidase, NA (exo-alpha-sialidase activity) and thus the metabolism of glycoproteins, demonstrated in Figure 4A PMID:23544079, (IDA), the negative regulation term would be applied to this protein"
viral load,PATO,GO:1903020,positive regulation of glycoprotein metabolic process,"human serum amyloid P component (SAP) P02743 inhibits viral neuraminidase, NA (exo-alpha-sialidase activity) and thus the metabolism of glycoproteins, demonstrated in Figure 4A PMID:23544079, (IDA), the negative regulation term would be applied to this protein"
adult longevity,PATO,CL:0008017,adult skeletal muscle myoblast,"The vast majority of these cells develop from skeletal muscle satellite cells, although there are some reports of other origins."
adult longevity,PATO,UBERON:0000066,fully formed stage,"The stage of development at which the animal is fully formed, including immaturity and maturity. Includes both sexually immature stage, and adult stage."
adult longevity,PATO,UBERON:0002200,vasculature of head,Vasculature that is part of a head [Automatically generated definition].
adult longevity,PATO,UBERON:0003457,head bone,Different sources vary regarding which bones are craniofacial; e.g. hyoid bone
adult longevity,PATO,UBERON:0003566,head connective tissue,A portion of connective tissue that is part of a head [Automatically generated definition].
bloodmeal weight,PATO,PATO:0000128,weight,"For any biological use of PATO, the concept that should be used is 'mass' and not 'weight'. For example, increased weight of an organism."
bloodmeal weight,PATO,PATO:0000582,increased weight,A weight which is relatively high.
bloodmeal weight,PATO,PATO:0000583,decreased weight,A weight which is relatively low.
bloodmeal weight,PATO,PATO:0000125,mass,"For any biological use of PATO, the concept that should be used is 'mass' and not 'weight'. For example, increased weight of an organism."
bloodmeal weight,PATO,PATO:0001470,ratio,A quality inhering in a bearer by virtue of the bearer's magnitude in proportion to the magnitude of another entity.
Development Rate,PATO,PATO:0000161,rate,A quality of a single process inhering in a bearer by virtue of the bearer's occurrence per unit time.
Development Rate,PATO,PATO:0000911,decreased rate,A rate which is relatively low.
Development Rate,PATO,PATO:0000912,increased rate,A rate which is relatively high.
Development Rate,PATO,PATO:0001492,growth rate,The rate or speed of the change in size of an individual entity or change in number of a population.
Development Rate,PATO,PATO:0001574,flow rate,A physical quality inhering in a bearer by virtue of the bearer's motion characteristic.
conversion efficiency index,PATO,PATO:0001029,efficiency,A physical quality inhering in a bearer by virtue of ratio of the bearer's output to the bearer's input.
conversion efficiency index,PATO,PATO:0001675,decreased efficiency,An efficiency which is relatively low.
